global_best_valid_mrr20,global_best_test_mrr20,model,model_best_valid_mrr20,model_best_test_mrr20,run_best_valid_mrr20,run_best_test_mrr20,profile_id,concept_id,detail_id,lr_band_id,lr_lo,lr_hi,lr_center,stage_id,run_phase,run_id,dataset,hparam_id,seed_id,gpu_id,status,n_completed,interrupted,special_ok,result_path,timestamp_utc
0.121200,0.088900,SASRec,0.121200,0.088900,0.121200,0.088900,LR4_1.6e3_4.8e3,LR,LR4,LR4,1.920000e-03,5.760000e-03,3.325538e-03,A,P16_SA_D01_M01_SASREC_LR4_1.6e3_4.8e3_S1,SA_AMAZON_BEAUTY_SASREC_LR4_1.6e3_4.8e3_S1,amazon_beauty,LR4_1.6e3_4.8e3,1,7,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagea_lr_anchor2_core5/P16/amazon_beauty/SASRec/amazon_beauty_SASRec_p16_sa_d01_m01_sasrec_lr4_1.6e3_4.8e3_s1_20260329_160223_053298_pid491525.json,2026-03-29T16:02:55.125307Z
0.121200,0.088900,SASRec,0.121200,0.088900,0.120500,0.087700,LR1_2e4_7e4,LR,LR1,LR1,2.400000e-04,8.400000e-04,4.489989e-04,A,P16_SA_D01_M01_SASREC_LR1_2e4_7e4_S1,SA_AMAZON_BEAUTY_SASREC_LR1_2e4_7e4_S1,amazon_beauty,LR1_2e4_7e4,1,4,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagea_lr_anchor2_core5/P16/amazon_beauty/SASRec/amazon_beauty_SASRec_p16_sa_d01_m01_sasrec_lr1_2e4_7e4_s1_20260329_160223_172383_pid491522.json,2026-03-29T16:03:06.214110Z
0.121500,0.088900,SASRec,0.121500,0.088900,0.121500,0.082500,LR2_4e4_1.2e3,LR,LR2,LR2,4.800000e-04,1.440000e-03,8.313844e-04,A,P16_SA_D01_M01_SASREC_LR2_4e4_1.2e3_S1,SA_AMAZON_BEAUTY_SASREC_LR2_4e4_1.2e3_S1,amazon_beauty,LR2_4e4_1.2e3,1,5,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagea_lr_anchor2_core5/P16/amazon_beauty/SASRec/amazon_beauty_SASRec_p16_sa_d01_m01_sasrec_lr2_4e4_1.2e3_s1_20260329_160223_024668_pid491523.json,2026-03-29T16:03:07.278833Z
0.123200,0.088900,SASRec,0.123200,0.088900,0.123200,0.084800,LR3_8e4_2.4e3,LR,LR3,LR3,9.600000e-04,2.880000e-03,1.662769e-03,A,P16_SA_D01_M01_SASREC_LR3_8e4_2.4e3_S1,SA_AMAZON_BEAUTY_SASREC_LR3_8e4_2.4e3_S1,amazon_beauty,LR3_8e4_2.4e3,1,6,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagea_lr_anchor2_core5/P16/amazon_beauty/SASRec/amazon_beauty_SASRec_p16_sa_d01_m01_sasrec_lr3_8e4_2.4e3_s1_20260329_160223_026112_pid491524.json,2026-03-29T16:03:22.375998Z
0.123200,0.088900,GRU4Rec,0.000700,0.000800,0.000700,0.000800,LR1_2e4_7e4,LR,LR1,LR1,2.040000e-04,7.140000e-04,3.816491e-04,A,P16_SA_D01_M02_GRU4REC_LR1_2e4_7e4_S1,SA_AMAZON_BEAUTY_GRU4REC_LR1_2e4_7e4_S1,amazon_beauty,LR1_2e4_7e4,1,5,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagea_lr_anchor2_core5/P16/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p16_sa_d01_m02_gru4rec_lr1_2e4_7e4_s1_20260329_160312_433791_pid491836.json,2026-03-29T16:03:24.450239Z
0.123200,0.092700,SASRec,0.123200,0.092700,0.117300,0.092700,LR5_3.2e3_7.5e3,LR,LR5,LR5,3.840000e-03,9.000000e-03,5.878775e-03,A,P16_SA_D01_M01_SASREC_LR5_3.2e3_7.5e3_S1,SA_AMAZON_BEAUTY_SASREC_LR5_3.2e3_7.5e3_S1,amazon_beauty,LR5_3.2e3_7.5e3,1,7,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagea_lr_anchor2_core5/P16/amazon_beauty/SASRec/amazon_beauty_SASRec_p16_sa_d01_m01_sasrec_lr5_3.2e3_7.5e3_s1_20260329_160300_251096_pid491771.json,2026-03-29T16:03:32.521398Z
0.123200,0.092700,SASRec,0.123200,0.092700,0.118500,0.084300,LR6_5e3_1e2,LR,LR6,LR6,6.000000e-03,1.000000e-02,7.745967e-03,A,P16_SA_D01_M01_SASREC_LR6_5e3_1e2_S1,SA_AMAZON_BEAUTY_SASREC_LR6_5e3_1e2_S1,amazon_beauty,LR6_5e3_1e2,1,4,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagea_lr_anchor2_core5/P16/amazon_beauty/SASRec/amazon_beauty_SASRec_p16_sa_d01_m01_sasrec_lr6_5e3_1e2_s1_20260329_160311_332034_pid491826.json,2026-03-29T16:03:34.596962Z
0.123200,0.092700,GRU4Rec,0.000700,0.000800,0.000000,0.000500,LR2_4e4_1.2e3,LR,LR2,LR2,4.080000e-04,1.224000e-03,7.066767e-04,A,P16_SA_D01_M02_GRU4REC_LR2_4e4_1.2e3_S1,SA_AMAZON_BEAUTY_GRU4REC_LR2_4e4_1.2e3_S1,amazon_beauty,LR2_4e4_1.2e3,1,6,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagea_lr_anchor2_core5/P16/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p16_sa_d01_m02_gru4rec_lr2_4e4_1.2e3_s1_20260329_160327_579747_pid491955.json,2026-03-29T16:03:38.673456Z
0.123200,0.092700,GRU4Rec,0.001800,0.003500,0.001800,0.003500,LR3_8e4_2.4e3,LR,LR3,LR3,8.160000e-04,2.448000e-03,1.413353e-03,A,P16_SA_D01_M02_GRU4REC_LR3_8e4_2.4e3_S1,SA_AMAZON_BEAUTY_GRU4REC_LR3_8e4_2.4e3_S1,amazon_beauty,LR3_8e4_2.4e3,1,5,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagea_lr_anchor2_core5/P16/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p16_sa_d01_m02_gru4rec_lr3_8e4_2.4e3_s1_20260329_160329_493434_pid491970.json,2026-03-29T16:03:43.755816Z
0.123200,0.092700,GRU4Rec,0.004400,0.003500,0.004400,0.000000,LR5_3.2e3_7.5e3,LR,LR5,LR5,3.264000e-03,7.650000e-03,4.996959e-03,A,P16_SA_D01_M02_GRU4REC_LR5_3.2e3_7.5e3_S1,SA_AMAZON_BEAUTY_GRU4REC_LR5_3.2e3_7.5e3_S1,amazon_beauty,LR5_3.2e3_7.5e3,1,4,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagea_lr_anchor2_core5/P16/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p16_sa_d01_m02_gru4rec_lr5_3.2e3_7.5e3_s1_20260329_160339_597987_pid492053.json,2026-03-29T16:03:54.842438Z
0.123200,0.092700,GRU4Rec,0.008800,0.003500,0.008800,0.000000,LR4_1.6e3_4.8e3,LR,LR4,LR4,1.632000e-03,4.896000e-03,2.826707e-03,A,P16_SA_D01_M02_GRU4REC_LR4_1.6e3_4.8e3_S1,SA_AMAZON_BEAUTY_GRU4REC_LR4_1.6e3_4.8e3_S1,amazon_beauty,LR4_1.6e3_4.8e3,1,7,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagea_lr_anchor2_core5/P16/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p16_sa_d01_m02_gru4rec_lr4_1.6e3_4.8e3_s1_20260329_160337_774543_pid492035.json,2026-03-29T16:03:55.918821Z
0.123200,0.092700,GRU4Rec,0.008800,0.003500,0.001800,0.000000,LR6_5e3_1e2,LR,LR6,LR6,5.100000e-03,1.000000e-02,7.141428e-03,A,P16_SA_D01_M02_GRU4REC_LR6_5e3_1e2_S1,SA_AMAZON_BEAUTY_GRU4REC_LR6_5e3_1e2_S1,amazon_beauty,LR6_5e3_1e2,1,6,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagea_lr_anchor2_core5/P16/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p16_sa_d01_m02_gru4rec_lr6_5e3_1e2_s1_20260329_160343_901899_pid492092.json,2026-03-29T16:03:57.992693Z
0.123200,0.092700,DuoRec,0.102500,0.078900,0.102500,0.078900,LR1_2e4_7e4,LR,LR1,LR1,2.160000e-04,7.560000e-04,4.040990e-04,A,P16_SA_D01_M03_DUOREC_LR1_2e4_7e4_S1,SA_AMAZON_BEAUTY_DUOREC_LR1_2e4_7e4_S1,amazon_beauty,LR1_2e4_7e4,1,5,run_complete,4,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagea_lr_anchor2_core5/P16/amazon_beauty/DuoRec/amazon_beauty_DuoRec_p16_sa_d01_m03_duorec_lr1_2e4_7e4_s1_20260329_160348_885022_pid492139.json,2026-03-29T16:04:09.072414Z
