model,global_best_valid_mrr20,global_best_test_mrr20,model_best_valid_mrr20,model_best_test_mrr20,run_best_valid_mrr20,run_best_test_mrr20,run_phase,run_id,dataset,hparam_id,seed_id,gpu_id,status,n_completed,interrupted,special_ok,candidate_id,candidate_source,source_stage,transfer_from_dataset,anchor_run_id,pass_name,batch_profile,result_path,timestamp_utc
SIGMA,0.102900,0.092200,0.102900,0.092200,0.102900,0.092200,P24_I2_D11_MSIGMA_C02_I2_SIGMA_WIDTH_UP_S1,I2_FOURSQUARE_SIGMA_I2_SIGMA_WIDTH_UP_S1,foursquare,I2_SIGMA_WIDTH_UP,1,4,run_complete,8,False,True,I2_SIGMA_WIDTH_UP,history_perturb,StageH_TargetedRecovery_anchor2_core5,,SH_FOURSQUARE_SIGMA_FSQ_SIGMA_STAGEH_REC1_STRUCTL_S1,pass2,pass2:bs896/1024,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline/normal/stagei_progressiverecovery_anchor2_core5/P24/foursquare/SIGMA/foursquare_SIGMA_p24_i2_d11_msigma_c02_i2_sigma_width_up_s1_20260412_154828_607445_pid208407.json,2026-04-12T16:28:03.865357Z
SIGMA,0.104300,0.098000,0.104300,0.098000,0.104300,0.098000,P24_I2_D11_MSIGMA_C07_I2_SIGMA_FB01_S1,I2_FOURSQUARE_SIGMA_I2_SIGMA_FB01_S1,foursquare,I2_SIGMA_FB01,1,4,run_complete,8,False,True,I2_SIGMA_FB01,history_perturb,StageH_TargetedRecovery_anchor2_core5,,SH_FOURSQUARE_SIGMA_FSQ_SIGMA_STAGEH_REC1_STRUCTL_S1,pass2,pass2:bs896/1024,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline/normal/stagei_progressiverecovery_anchor2_core5/P24/foursquare/SIGMA/foursquare_SIGMA_p24_i2_d11_msigma_c07_i2_sigma_fb01_s1_20260412_185851_938829_pid227385.json,2026-04-12T19:12:34.114918Z
SIGMA,0.107000,0.102700,0.107000,0.102700,0.107000,0.102700,P24_I2_D11_MSIGMA_C01_I2_SIGMA_ANCHOR_S1,I2_FOURSQUARE_SIGMA_I2_SIGMA_ANCHOR_S1,foursquare,I2_SIGMA_ANCHOR,1,4,run_complete,8,False,True,I2_SIGMA_ANCHOR,history_perturb,StageH_TargetedRecovery_anchor2_core5,,SH_FOURSQUARE_SIGMA_FSQ_SIGMA_STAGEH_REC1_STRUCTL_S1,pass2,pass2:bs1152/1280,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline/normal/stagei_progressiverecovery_anchor2_core5/P24/foursquare/SIGMA/foursquare_SIGMA_p24_i2_d11_msigma_c01_i2_sigma_anchor_s1_20260412_191238_295794_pid228950.json,2026-04-12T19:24:28.026781Z
SIGMA,0.107000,0.102700,0.107000,0.102700,0.106700,0.098400,P24_I2_D11_MSIGMA_C04_I2_SIGMA_DEPTH_UP_S1,I2_FOURSQUARE_SIGMA_I2_SIGMA_DEPTH_UP_S1,foursquare,I2_SIGMA_DEPTH_UP,1,6,run_complete,8,False,True,I2_SIGMA_DEPTH_UP,history_perturb,StageH_TargetedRecovery_anchor2_core5,,SH_FOURSQUARE_SIGMA_FSQ_SIGMA_STAGEH_REC1_STRUCTL_S1,pass2,pass2:bs1024/1280,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline/normal/stagei_progressiverecovery_anchor2_core5/P24/foursquare/SIGMA/foursquare_SIGMA_p24_i2_d11_msigma_c04_i2_sigma_depth_up_s1_20260412_191348_486341_pid229082.json,2026-04-12T19:28:57.391485Z
SIGMA,0.107000,0.102700,0.107000,0.102700,0.102000,0.096100,P24_I2_D11_MSIGMA_C06_I2_SIGMA_REG_RELIEF_S1,I2_FOURSQUARE_SIGMA_I2_SIGMA_REG_RELIEF_S1,foursquare,I2_SIGMA_REG_RELIEF,1,6,run_complete,8,False,True,I2_SIGMA_REG_RELIEF,history_perturb,StageH_TargetedRecovery_anchor2_core5,,SH_FOURSQUARE_SIGMA_FSQ_SIGMA_STAGEH_REC1_STRUCTL_S1,pass2,pass2:bs1152/1280,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline/normal/stagei_progressiverecovery_anchor2_core5/P24/foursquare/SIGMA/foursquare_SIGMA_p24_i2_d11_msigma_c06_i2_sigma_reg_relief_s1_20260412_192901_642810_pid230780.json,2026-04-12T19:39:56.236049Z
SIGMA,0.108000,0.105000,0.108000,0.105000,0.108000,0.105000,P24_I2_D11_MSIGMA_C10_I2_SIGMA_FB04_S1,I2_FOURSQUARE_SIGMA_I2_SIGMA_FB04_S1,foursquare,I2_SIGMA_FB04,1,6,run_complete,8,False,True,I2_SIGMA_FB04,history_perturb,StageH_TargetedRecovery_anchor2_core5,,SH_FOURSQUARE_SIGMA_FSQ_SIGMA_STAGEH_REC1_STRUCTL_S1,pass2,pass2:bs1152/1280,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline/normal/stagei_progressiverecovery_anchor2_core5/P24/foursquare/SIGMA/foursquare_SIGMA_p24_i2_d11_msigma_c10_i2_sigma_fb04_s1_20260412_194000_470142_pid231962.json,2026-04-12T19:51:02.074576Z
SIGMA,0.108000,0.105000,0.108000,0.105000,0.104800,0.099300,P24_I2_D11_MSIGMA_C05_I2_SIGMA_SHORT_HI_S1,I2_FOURSQUARE_SIGMA_I2_SIGMA_SHORT_HI_S1,foursquare,I2_SIGMA_SHORT_HI,1,4,run_complete,8,False,True,I2_SIGMA_SHORT_HI,history_perturb,StageH_TargetedRecovery_anchor2_core5,,SH_FOURSQUARE_SIGMA_FSQ_SIGMA_STAGEH_REC1_STRUCTL_S1,pass2,pass2:bs1152/1280,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline/normal/stagei_progressiverecovery_anchor2_core5/P24/foursquare/SIGMA/foursquare_SIGMA_p24_i2_d11_msigma_c05_i2_sigma_short_hi_s1_20260412_192432_280750_pid230258.json,2026-04-12T19:52:31.232093Z
SIGMA,0.108000,0.105000,0.108000,0.105000,0.104700,0.101800,P24_I2_D11_MSIGMA_C09_I2_SIGMA_FB03_S1,I2_FOURSQUARE_SIGMA_I2_SIGMA_FB03_S1,foursquare,I2_SIGMA_FB03,1,5,run_complete,8,False,True,I2_SIGMA_FB03,history_perturb,StageH_TargetedRecovery_anchor2_core5,,SH_FOURSQUARE_SIGMA_FSQ_SIGMA_STAGEH_REC1_STRUCTL_S1,pass2,pass2:bs1024/1280,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline/normal/stagei_progressiverecovery_anchor2_core5/P24/foursquare/SIGMA/foursquare_SIGMA_p24_i2_d11_msigma_c09_i2_sigma_fb03_s1_20260412_193912_378797_pid231847.json,2026-04-12T19:54:15.408323Z
SIGMA,0.108000,0.105000,0.108000,0.105000,0.103600,0.099700,P24_I2_D11_MSIGMA_C11_I2_SIGMA_FB05_S1,I2_FOURSQUARE_SIGMA_I2_SIGMA_FB05_S1,foursquare,I2_SIGMA_FB05,1,7,run_complete,8,False,True,I2_SIGMA_FB05,history_perturb,StageH_TargetedRecovery_anchor2_core5,,SH_FOURSQUARE_SIGMA_FSQ_SIGMA_STAGEH_REC1_STRUCTL_S1,pass2,pass2:bs1152/1280,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline/normal/stagei_progressiverecovery_anchor2_core5/P24/foursquare/SIGMA/foursquare_SIGMA_p24_i2_d11_msigma_c11_i2_sigma_fb05_s1_20260412_194303_695376_pid232335.json,2026-04-12T19:54:58.515417Z
SIGMA,0.111400,0.105000,0.111400,0.105000,0.111400,0.099400,P24_I2_D11_MSIGMA_C12_I2_SIGMA_FB06_S1,I2_FOURSQUARE_SIGMA_I2_SIGMA_FB06_S1,foursquare,I2_SIGMA_FB06,1,6,run_complete,8,False,True,I2_SIGMA_FB06,history_perturb,StageH_TargetedRecovery_anchor2_core5,,SH_FOURSQUARE_SIGMA_FSQ_SIGMA_STAGEH_REC1_STRUCTL_S1,pass2,pass2:bs1152/1280,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline/normal/stagei_progressiverecovery_anchor2_core5/P24/foursquare/SIGMA/foursquare_SIGMA_p24_i2_d11_msigma_c12_i2_sigma_fb06_s1_20260412_195106_199741_pid233185.json,2026-04-12T20:03:23.192251Z
