question,stage,dataset,model,family,job_id,parent_job_id,run_phase,setting_key,setting_label,base_rank,base_tag,seed_id,runtime_seed,gpu_id,status,selection_rule,valid_score,test_score,best_valid_mrr20,test_mrr20,checkpoint_file,result_path,base_result_json,log_path,elapsed_sec,error,timestamp_utc
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTE_REC_FULL_R01_S3,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTE_REC_FULL_R01_S3,route_rec_full,RouteRec Full,1,kuaireclargestrictposv2_0_2_top01_rfmoe,3,860001,recovered,ok,overall_seen_target,0.09367777777777778,0.17402222222222222,0.0801,0.1628,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_route_rec_full_r01_s3_20260419_040303_956060_pid709337_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_route_rec_full_r01_s3_20260419_040303_956060_pid709337.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTE_REC_FULL_R01_S3.log,0.0,,2026-04-19T07:28:53.062664Z
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R01_S3,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R01_S3,shared_ffn,Shared FFN,1,kuaireclargestrictposv2_0_2_top01_rfmoe,3,860002,recovered,ok,overall_seen_target,0.09206666666666667,0.1730988151931956,0.0792,0.1617,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_shared_ffn_r01_s3_20260418_203940_156637_pid684748.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R01_S3.log,0.0,,2026-04-19T07:28:53.237544Z
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTER_HIDDEN_ONLY_R01_S3,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTER_HIDDEN_ONLY_R01_S3,router_hidden_only,Router Hidden Only,1,kuaireclargestrictposv2_0_2_top01_rfmoe,3,860003,recovered,ok,overall_seen_target,0.09372891856872655,0.17495151834438136,0.0801,0.1631,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_router_hidden_only_r01_s3_20260419_040304_149032_pid709339_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_router_hidden_only_r01_s3_20260419_040304_149032_pid709339.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTER_HIDDEN_ONLY_R01_S3.log,0.0,,2026-04-19T07:28:53.416245Z
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTER_FEATURE_ONLY_R01_S3,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTER_FEATURE_ONLY_R01_S3,router_feature_only,Router Feature Only,1,kuaireclargestrictposv2_0_2_top01_rfmoe,3,860004,recovered,ok,overall_seen_target,0.09361111111111112,0.17452967798919086,0.0801,0.1629,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_router_feature_only_r01_s3_20260419_040304_179835_pid709340_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_router_feature_only_r01_s3_20260419_040304_179835_pid709340.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTER_FEATURE_ONLY_R01_S3.log,0.0,,2026-04-19T07:28:53.592403Z
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTE_REC_FULL_R02_S3,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTE_REC_FULL_R02_S3,route_rec_full,RouteRec Full,2,kuaireclargestrictposv2_0_2_top02_rfmoe,3,860005,recovered,ok,overall_seen_target,0.09269211739442593,0.17416372998303292,0.0797,0.1627,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_route_rec_full_r02_s3_20260419_040304_168621_pid709344_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_route_rec_full_r02_s3_20260419_040304_168621_pid709344.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTE_REC_FULL_R02_S3.log,0.0,,2026-04-19T07:28:53.809793Z
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R02_S3,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R02_S3,shared_ffn,Shared FFN,2,kuaireclargestrictposv2_0_2_top02_rfmoe,3,860006,recovered,ok,overall_seen_target,0.09191111111111111,0.17256666666666665,0.079,0.1615,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_shared_ffn_r02_s3_20260418_203939_994202_pid684754.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R02_S3.log,0.0,,2026-04-19T07:28:53.987780Z
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTER_HIDDEN_ONLY_R02_S3,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTER_HIDDEN_ONLY_R02_S3,router_hidden_only,Router Hidden Only,2,kuaireclargestrictposv2_0_2_top02_rfmoe,3,860007,recovered,ok,overall_seen_target,0.09245555555555557,0.17407777777777778,0.0796,0.1627,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_router_hidden_only_r02_s3_20260419_040303_986475_pid709343_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_router_hidden_only_r02_s3_20260419_040303_986475_pid709343.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTER_HIDDEN_ONLY_R02_S3.log,0.0,,2026-04-19T07:28:54.165652Z
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTER_FEATURE_ONLY_R02_S3,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTER_FEATURE_ONLY_R02_S3,router_feature_only,Router Feature Only,2,kuaireclargestrictposv2_0_2_top02_rfmoe,3,860008,recovered,ok,overall_seen_target,0.09276666666666666,0.17465555555555556,0.0797,0.1629,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_router_feature_only_r02_s3_20260419_040303_997507_pid709345_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_router_feature_only_r02_s3_20260419_040303_997507_pid709345.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTER_FEATURE_ONLY_R02_S3.log,0.0,,2026-04-19T07:28:54.342355Z
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTE_REC_FULL_R03_S3,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTE_REC_FULL_R03_S3,route_rec_full,RouteRec Full,3,kuaireclargestrictposv2_0_2_top03_rfmoe,3,860009,recovered,ok,overall_seen_target,0.09302222222222221,0.1730724801712773,0.08,0.1621,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_route_rec_full_r03_s3_20260419_040304_056400_pid709346_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_route_rec_full_r03_s3_20260419_040304_056400_pid709346.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_ROUTE_REC_FULL_R03_S3.log,0.0,,2026-04-19T07:28:54.518281Z
q2,q2,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R03_S3,,Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R03_S3,shared_ffn,Shared FFN,3,kuaireclargestrictposv2_0_2_top03_rfmoe,3,860010,recovered,ok,overall_seen_target,0.09084444444444445,0.17026915623832733,0.0786,0.1601,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_q2_kuaireclargestrictposv2_0_2_shared_ffn_r03_s3_20260418_211418_525190_pid684983.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/q2/kuaireclargestrictposv2_0_2/featured_moe_n3/route/Q2_KUAIRECLARGESTRICTPOSV2_0_2_SHARED_FFN_R03_S3.log,0.0,,2026-04-19T07:28:54.700340Z
