model,best_mrr20_group,best_mrr20_run,best_mrr20_trial,best_hr10_group,best_hr10_run,best_hr10_trial,test_mrr20_group,test_mrr20_run,test_mrr20_trial,test_hr10_group,test_hr10_run,test_hr10_trial,hit_best_mrr20,hit_best_hr10,hit_test_mrr20,hit_test_hr10,trial_idx,trials_progress,status,run_phase,group_key,experiment_note,trial_knobs,log_rel_path
FeaturedMoE_N,0.0170,0.0170,0.0170,0.0534,0.0534,0.0534,0.0157,0.0157,0.0157,0.0461,0.0461,0.0461,Y,Y,Y,Y,1,1/10,terminated,ARCH2_A01,FeaturedMoE_N,plain L7,lr=0.000624,KuaiRecSmall0.1/FMoE/20260312_124340_822_s01_layout_lite_v1_ARCH2_A01.log
FeaturedMoE_N,0.0174,0.0174,0.0174,0.0556,0.0556,0.0556,0.0157,0.0157,0.0157,0.0486,0.0486,0.0486,Y,Y,,Y,2,2/10,terminated,ARCH2_A01,FeaturedMoE_N,plain L7,lr=0.000586,KuaiRecSmall0.1/FMoE/20260312_124340_822_s01_layout_lite_v1_ARCH2_A01.log
FeaturedMoE_N,0.0176,0.0176,0.0176,0.0556,0.0556,0.0544,0.0164,0.0164,0.0164,0.0503,0.0503,0.0503,Y,,Y,Y,3,3/10,terminated,ARCH2_A01,FeaturedMoE_N,plain L7,lr=0.000469,KuaiRecSmall0.1/FMoE/20260312_124340_822_s01_layout_lite_v1_ARCH2_A01.log
FeaturedMoE_N,0.0179,0.0179,0.0179,0.0556,0.0556,0.0525,0.0164,0.0164,0.0163,0.0503,0.0503,0.0476,Y,,,,5,5/10,terminated,ARCH2_A01,FeaturedMoE_N,plain L7,lr=0.000522,KuaiRecSmall0.1/FMoE/20260312_124340_822_s01_layout_lite_v1_ARCH2_A01.log
FeaturedMoE_N,0.0179,0.0173,0.0173,0.0561,0.0561,0.0561,0.0164,0.0161,0.0161,0.0503,0.0495,0.0495,Y,Y,Y,Y,1,1/10,terminated,ARCH2_A01,FeaturedMoE_N,plain L7,lr=0.000554,KuaiRecSmall0.1/FMoE/20260312_131920_629_s01_layout_lite_v1_ARCH2_A01.log
FeaturedMoE_N,0.0179,0.0174,0.0174,0.0561,0.0561,0.0544,0.0164,0.0161,0.0157,0.0503,0.0495,0.0473,Y,,,,2,2/10,terminated,ARCH2_A01,FeaturedMoE_N,plain L7,lr=0.000503,KuaiRecSmall0.1/FMoE/20260312_131920_629_s01_layout_lite_v1_ARCH2_A01.log
FeaturedMoE_N,0.0179,0.0178,0.0178,0.0561,0.0561,0.0559,0.0170,0.0170,0.0170,0.0507,0.0507,0.0507,Y,,Y,Y,3,3/10,terminated,ARCH2_A01,FeaturedMoE_N,plain L7,lr=0.000356,KuaiRecSmall0.1/FMoE/20260312_131920_629_s01_layout_lite_v1_ARCH2_A01.log
FeaturedMoE_N,0.0179,0.0149,0.0149,0.0561,0.0432,0.0432,0.0170,0.0136,0.0136,0.0507,0.0398,0.0398,Y,Y,Y,Y,1,1/10,success,ARCH2_A01,FeaturedMoE_N,plain L7,lr=0.00206,KuaiRecSmall0.1/FMoE/20260312_134439_525_s01_layout_lite_v1_ARCH2_A01.log
FeaturedMoE_N,0.0179,0.0149,0.0142,0.0561,0.0454,0.0454,0.0170,0.0136,0.0127,0.0507,0.0398,0.0395,,Y,,,2,2/10,success,ARCH2_A01,FeaturedMoE_N,plain L7,lr=0.00152,KuaiRecSmall0.1/FMoE/20260312_134439_525_s01_layout_lite_v1_ARCH2_A01.log
FeaturedMoE_N,0.0179,0.0177,0.0177,0.0561,0.0533,0.0533,0.0170,0.0162,0.0162,0.0507,0.0477,0.0477,Y,Y,Y,Y,3,3/10,success,ARCH2_A01,FeaturedMoE_N,plain L7,lr=0.000514,KuaiRecSmall0.1/FMoE/20260312_134439_525_s01_layout_lite_v1_ARCH2_A01.log
FeaturedMoE_N,0.0179,0.0171,0.0171,0.0561,0.0524,0.0524,0.0170,0.0161,0.0161,0.0507,0.0485,0.0485,Y,Y,Y,Y,1,1/10,terminated,ARCH2_A02,FeaturedMoE_N,plain L16,lr=0.000494,KuaiRecSmall0.1/FMoE/20260312_124340_843_s01_layout_lite_v1_ARCH2_A02.log
FeaturedMoE_N,0.0179,0.0174,0.0174,0.0561,0.0527,0.0527,0.0170,0.0165,0.0165,0.0507,0.0486,0.0486,Y,Y,Y,Y,2,2/10,terminated,ARCH2_A02,FeaturedMoE_N,plain L16,lr=0.000473,KuaiRecSmall0.1/FMoE/20260312_124340_843_s01_layout_lite_v1_ARCH2_A02.log
FeaturedMoE_N,0.0179,0.0174,0.0168,0.0561,0.0535,0.0535,0.0170,0.0165,0.0154,0.0507,0.0492,0.0492,,Y,,Y,3,3/10,terminated,ARCH2_A02,FeaturedMoE_N,plain L16,lr=0.000548,KuaiRecSmall0.1/FMoE/20260312_124340_843_s01_layout_lite_v1_ARCH2_A02.log
FeaturedMoE_N,0.0179,0.0177,0.0177,0.0564,0.0564,0.0564,0.0170,0.0162,0.0162,0.0507,0.0500,0.0500,Y,Y,Y,Y,1,1/10,terminated,ARCH2_A02,FeaturedMoE_N,plain L16,lr=0.00043,KuaiRecSmall0.1/FMoE/20260312_131920_650_s01_layout_lite_v1_ARCH2_A02.log
FeaturedMoE_N,0.0179,0.0177,0.0177,0.0564,0.0564,0.0544,0.0170,0.0163,0.0163,0.0507,0.0500,0.0500,,,Y,,2,2/10,terminated,ARCH2_A02,FeaturedMoE_N,plain L16,lr=0.000405,KuaiRecSmall0.1/FMoE/20260312_131920_650_s01_layout_lite_v1_ARCH2_A02.log
FeaturedMoE_N,0.0179,0.0159,0.0159,0.0564,0.0498,0.0498,0.0170,0.0144,0.0144,0.0507,0.0458,0.0458,Y,Y,Y,Y,1,1/10,success,ARCH2_A02,FeaturedMoE_N,plain L16,lr=0.000945,KuaiRecSmall0.1/FMoE/20260312_134439_543_s01_layout_lite_v1_ARCH2_A02.log
FeaturedMoE_N,0.0179,0.0161,0.0161,0.0564,0.0519,0.0519,0.0170,0.0153,0.0153,0.0507,0.0464,0.0464,Y,Y,Y,Y,2,2/10,success,ARCH2_A02,FeaturedMoE_N,plain L16,lr=0.000755,KuaiRecSmall0.1/FMoE/20260312_134439_543_s01_layout_lite_v1_ARCH2_A02.log
FeaturedMoE_N,0.0179,0.0173,0.0173,0.0564,0.0529,0.0529,0.0170,0.0160,0.0160,0.0507,0.0496,0.0496,Y,Y,Y,Y,5,5/10,success,ARCH2_A02,FeaturedMoE_N,plain L16,lr=0.000406,KuaiRecSmall0.1/FMoE/20260312_134439_543_s01_layout_lite_v1_ARCH2_A02.log
FeaturedMoE_N,0.0179,0.0176,0.0176,0.0564,0.0540,0.0540,0.0170,0.0160,0.0160,0.0507,0.0504,0.0504,Y,Y,,Y,8,8/10,success,ARCH2_A02,FeaturedMoE_N,plain L16,lr=0.00046,KuaiRecSmall0.1/FMoE/20260312_134439_543_s01_layout_lite_v1_ARCH2_A02.log
FeaturedMoE_N,0.0179,0.0173,0.0173,0.0564,0.0498,0.0498,0.0170,0.0157,0.0157,0.0507,0.0469,0.0469,Y,Y,Y,Y,1,1/10,terminated,ARCH2_A03,FeaturedMoE_N,plain L19,lr=0.000434,KuaiRecSmall0.1/FMoE/20260312_124340_872_s01_layout_lite_v1_ARCH2_A03.log
FeaturedMoE_N,0.0179,0.0173,0.0167,0.0564,0.0498,0.0494,0.0170,0.0158,0.0158,0.0507,0.0469,0.0458,,,Y,,2,2/10,terminated,ARCH2_A03,FeaturedMoE_N,plain L19,lr=0.000682,KuaiRecSmall0.1/FMoE/20260312_124340_872_s01_layout_lite_v1_ARCH2_A03.log
FeaturedMoE_N,0.0181,0.0181,0.0181,0.0564,0.0528,0.0528,0.0170,0.0162,0.0162,0.0507,0.0474,0.0474,Y,Y,Y,Y,1,1/10,terminated,ARCH2_A03,FeaturedMoE_N,plain L19,lr=0.000335,KuaiRecSmall0.1/FMoE/20260312_131920_669_s01_layout_lite_v1_ARCH2_A03.log
FeaturedMoE_N,0.0181,0.0175,0.0175,0.0564,0.0512,0.0512,0.0170,0.0160,0.0160,0.0507,0.0474,0.0474,Y,Y,Y,Y,1,1/10,success,ARCH2_A03,FeaturedMoE_N,plain L19,lr=0.000371,KuaiRecSmall0.1/FMoE/20260312_134439_563_s01_layout_lite_v1_ARCH2_A03.log
FeaturedMoE_N,0.0181,0.0175,0.0169,0.0564,0.0512,0.0486,0.0170,0.0164,0.0164,0.0507,0.0474,0.0449,,,Y,,3,3/10,success,ARCH2_A03,FeaturedMoE_N,plain L19,lr=0.000791,KuaiRecSmall0.1/FMoE/20260312_134439_563_s01_layout_lite_v1_ARCH2_A03.log
FeaturedMoE_N,0.0181,0.0178,0.0178,0.0564,0.0529,0.0529,0.0170,0.0164,0.0164,0.0507,0.0495,0.0495,Y,Y,Y,Y,1,1/10,terminated,ARCH2_A04,FeaturedMoE_N,plain L8,lr=0.000738,KuaiRecSmall0.1/FMoE/20260312_124340_884_s01_layout_lite_v1_ARCH2_A04.log
FeaturedMoE_N,0.0181,0.0178,0.0178,0.0564,0.0544,0.0544,0.0170,0.0164,0.0164,0.0507,0.0495,0.0494,,Y,,,2,2/10,terminated,ARCH2_A04,FeaturedMoE_N,plain L8,lr=0.000847,KuaiRecSmall0.1/FMoE/20260312_124340_884_s01_layout_lite_v1_ARCH2_A04.log
FeaturedMoE_N,0.0181,0.0178,0.0174,0.0564,0.0544,0.0543,0.0170,0.0165,0.0165,0.0507,0.0495,0.0492,,,Y,,3,3/10,terminated,ARCH2_A04,FeaturedMoE_N,plain L8,lr=0.000721,KuaiRecSmall0.1/FMoE/20260312_124340_884_s01_layout_lite_v1_ARCH2_A04.log
