global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,phase_id,axis_id,axis_desc,setting_id,setting_key,setting_desc,setting_group,setting_detail,hparam_id,run_id
0.240600,0.240600,P14_FAD_LASTFM0_03_H1_S3,FINAL_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,lastfm0.03,3,2,running,0.208200,,,,,,2026-03-26T20:19:47.096139Z,P14,FAD,final_all_datasets,FINAL_MAIN_H1_S3,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S3,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_LASTFM0_03_H1_S3
0.244600,0.244600,P14_FAD_LASTFM0_03_H1_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,lastfm0.03,2,1,running,0.213400,,,,,,2026-03-26T20:19:53.103829Z,P14,FAD,final_all_datasets,FINAL_MAIN_H1_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S2,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_LASTFM0_03_H1_S2
0.247300,0.247300,P14_FAD_LASTFM0_03_H1_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,lastfm0.03,1,0,running,0.211600,,,,,,2026-03-26T20:20:23.136455Z,P14,FAD,final_all_datasets,FINAL_MAIN_H1_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S1,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_LASTFM0_03_H1_S1
0.251400,0.251400,P14_FAD_LASTFM0_03_H1_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,lastfm0.03,2,1,running,0.212700,,,,,,2026-03-26T20:26:32.545384Z,P14,FAD,final_all_datasets,FINAL_MAIN_H1_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S2,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_LASTFM0_03_H1_S2
0.256800,0.256800,P14_FAD_LASTFM0_03_H1_S3,FINAL_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,lastfm0.03,3,2,running,0.222800,,,,,,2026-03-26T20:42:39.600014Z,P14,FAD,final_all_datasets,FINAL_MAIN_H1_S3,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S3,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_LASTFM0_03_H1_S3
0.257000,0.257000,P14_FAD_LASTFM0_03_H1_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,lastfm0.03,2,1,running,0.222900,,,,,,2026-03-27T00:20:06.002215Z,P14,FAD,final_all_datasets,FINAL_MAIN_H1_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S2,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_LASTFM0_03_H1_S2
0.257000,,P14_FAD_LASTFM0_03_H1_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,final,run_complete,lastfm0.03,1,0,run_complete_no_result,,,,False,False,,2026-03-27T00:22:49.519530Z,P14,FAD,final_all_datasets,FINAL_MAIN_H1_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S1,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_LASTFM0_03_H1_S1
0.257000,,P14_FAD_LASTFM0_03_H1_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,final,run_complete,lastfm0.03,2,1,run_complete_no_result,,,,False,False,,2026-03-27T00:32:33.830340Z,P14,FAD,final_all_datasets,FINAL_MAIN_H1_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S2,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_LASTFM0_03_H1_S2
0.258400,0.258400,P14_FAD_LASTFM0_03_H3_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,lastfm0.03,1,0,running,0.224300,,,,,,2026-03-27T00:38:07.199026Z,P14,FAD,final_all_datasets,FINAL_MAIN_H3_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H3_S1,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H3,FAD_LASTFM0_03_H3_S1
0.258400,,P14_FAD_LASTFM0_03_H1_S4,FINAL_MAIN_ATTN_MICRO_BEFORE,final,run_complete,lastfm0.03,4,3,run_complete_no_result,,,,False,False,,2026-03-27T00:50:09.632744Z,P14,FAD,final_all_datasets,FINAL_MAIN_H1_S4,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S4,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_LASTFM0_03_H1_S4
0.258600,0.258600,P14_FAD_LASTFM0_03_H3_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,lastfm0.03,1,0,running,0.224100,,,,,,2026-03-27T01:00:49.339427Z,P14,FAD,final_all_datasets,FINAL_MAIN_H3_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H3_S1,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H3,FAD_LASTFM0_03_H3_S1
0.258600,,P14_FAD_LASTFM0_03_H1_S3,FINAL_MAIN_ATTN_MICRO_BEFORE,final,run_complete,lastfm0.03,3,2,run_complete_no_result,,,,False,False,,2026-03-27T01:47:05.833368Z,P14,FAD,final_all_datasets,FINAL_MAIN_H1_S3,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S3,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_LASTFM0_03_H1_S3
0.258600,,P14_FAD_LASTFM0_03_H3_S4,FINAL_MAIN_ATTN_MICRO_BEFORE,final,run_complete,lastfm0.03,4,3,run_complete_no_result,,,,False,False,,2026-03-27T04:10:14.518054Z,P14,FAD,final_all_datasets,FINAL_MAIN_H3_S4,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H3_S4,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H3,FAD_LASTFM0_03_H3_S4
