global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,phase_id,axis_id,axis_desc,architecture_id,architecture_key,architecture_name,setting_id,setting_key,setting_desc,setting_group,setting_detail,hparam_id,run_id
0.094000,0.094000,P14_FAD_MOVIELENS1M_H1_S1,A1_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,movielens1m,1,0,running,0.057900,,,,,,2026-03-27T19:58:08.050313Z,P14,FAD,final_all_datasets,A1,FINAL_MAIN,A1_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_H1_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S1,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_MOVIELENS1M_H1_S1
0.096100,0.096100,P14_FAD_MOVIELENS1M_H1_S4,A1_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,movielens1m,4,3,running,0.058400,,,,,,2026-03-27T20:56:20.872111Z,P14,FAD,final_all_datasets,A1,FINAL_MAIN,A1_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_H1_S4,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S4,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_MOVIELENS1M_H1_S4
0.096100,,P14_FAD_MOVIELENS1M_H1_S1,A1_MAIN_ATTN_MICRO_BEFORE,final,run_complete,movielens1m,1,0,run_complete_no_result,,,,False,False,,2026-03-28T01:33:46.751164Z,P14,FAD,final_all_datasets,A1,FINAL_MAIN,A1_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_H1_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S1,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_MOVIELENS1M_H1_S1
0.096100,,P14_FAD_MOVIELENS1M_H1_S4,A1_MAIN_ATTN_MICRO_BEFORE,final,run_complete,movielens1m,4,3,run_complete_no_result,,,,False,False,,2026-03-28T01:41:24.938746Z,P14,FAD,final_all_datasets,A1,FINAL_MAIN,A1_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_H1_S4,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S4,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_MOVIELENS1M_H1_S4
0.096100,,P14_FAD_MOVIELENS1M_H1_S2,A1_MAIN_ATTN_MICRO_BEFORE,final,run_complete,movielens1m,2,1,run_complete_no_result,,,,False,False,,2026-03-28T02:16:50.208730Z,P14,FAD,final_all_datasets,A1,FINAL_MAIN,A1_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_H1_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S2,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_MOVIELENS1M_H1_S2
0.096100,,P14_FAD_MOVIELENS1M_H1_S3,A1_MAIN_ATTN_MICRO_BEFORE,final,run_complete,movielens1m,3,2,run_complete_no_result,,,,False,False,,2026-03-28T02:34:28.941983Z,P14,FAD,final_all_datasets,A1,FINAL_MAIN,A1_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_H1_S3,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H1_S3,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H1,FAD_MOVIELENS1M_H1_S3
0.096300,0.096300,P14_FAD_MOVIELENS1M_H3_S1,A1_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,movielens1m,1,0,running,0.060400,,,,,,2026-03-28T03:32:20.785734Z,P14,FAD,final_all_datasets,A1,FINAL_MAIN,A1_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_H3_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H3_S1,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H3,FAD_MOVIELENS1M_H3_S1
0.096300,,P14_FAD_MOVIELENS1M_H3_S4,A1_MAIN_ATTN_MICRO_BEFORE,final,run_complete,movielens1m,4,3,run_complete_no_result,,,,False,False,,2026-03-28T07:08:42.734936Z,P14,FAD,final_all_datasets,A1,FINAL_MAIN,A1_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_H3_S4,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H3_S4,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H3,FAD_MOVIELENS1M_H3_S4
0.096300,,P14_FAD_MOVIELENS1M_H3_S1,A1_MAIN_ATTN_MICRO_BEFORE,final,run_complete,movielens1m,1,0,run_complete_no_result,,,,False,False,,2026-03-28T07:44:07.400733Z,P14,FAD,final_all_datasets,A1,FINAL_MAIN,A1_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_H3_S1,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H3_S1,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H3,FAD_MOVIELENS1M_H3_S1
0.097700,0.097700,P14_FAD_MOVIELENS1M_H3_S2,A1_MAIN_ATTN_MICRO_BEFORE,final,trial_new_best,movielens1m,2,1,running,0.055900,,,,,,2026-03-28T08:16:54.602452Z,P14,FAD,final_all_datasets,A1,FINAL_MAIN,A1_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_H3_S2,FINAL_MAIN_ATTN_MICRO_BEFORE,FINAL_MAIN_ATTN_MICRO_BEFORE_H3_S2,final_main,B4 + C0-N4 + family_dropout + attn_micro_before + session_fixed,H3,FAD_MOVIELENS1M_H3_S2
