global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,architecture_id,architecture_name,tuning_stage,family_id,family_group,variant_id,capacity_anchor,search_algo,setting_tier,setting_id,setting_key,setting_group,setting_detail,base_dataset,base_rank,base_key,base_run_phase,base_result_json,base_source,base_test_mrr20,base_valid_mrr20,base_setting_id,base_capacity_anchor,source_feature_mode,runtime_feature_mode,runtime_eval_mode,lr_mode,queue_stage_order
0.019100,0.019100,P40_KUAIRECLARGESTRICTPOSV2_0_2_B01_S02_H14_SEEN_HI_BL_00_S2,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,baseline_pool,trial_new_best,KuaiRecLargeStrictPosV2_0.2,2,4,running,0.340200,,,,,,2026-04-16T17:04:01.132192Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,baseline_pool,B01_S02_h14_seen_hi__BL-00,baseline_pool,BL-00,H14,random,essential,BL-00,BASE_REPLAY,baseline_pool,Replay and retune the selected base configuration under the ablation runtime.,KuaiRecLargeStrictPosV2_0.2,1,KuaiRecLargeStrictPosV2_0.2:S02_h14_seen_hi,P4S3_S3_KUAIRECLARGESTRICTPOSV2_0_2_S02_H14_SEEN_HI_S1,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s3_s3_kuaireclargestrictposv2_0_2_s02_h14_seen_hi_s1_20260415_081315_824627_pid124072.json,manifest,0.3404,0.0188,S02_h14_seen_hi,H14,,full_v4,session_fixed,band9,
0.019100,0.018300,P4A_KUAIRECLARGESTRICTPOSV2_0_2_B01_S02_H14_SEEN_HI_RC_01_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,routing_control,run_complete,KuaiRecLargeStrictPosV2_0.2,1,7,run_complete_no_result,0.288300,,,False,False,,2026-04-16T17:21:37.146175Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,routing_control,B01_S02_h14_seen_hi__RC-01,routing_control,RC-01,H14,random,essential,RC-01,SHARED_FFN,routing_control,Dense FFN only without routing or feature injection.,KuaiRecLargeStrictPosV2_0.2,1,KuaiRecLargeStrictPosV2_0.2:S02_h14_seen_hi,P4S3_S3_KUAIRECLARGESTRICTPOSV2_0_2_S02_H14_SEEN_HI_S1,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s3_s3_kuaireclargestrictposv2_0_2_s02_h14_seen_hi_s1_20260415_081315_824627_pid124072.json,manifest,0.3404,0.0188,S02_h14_seen_hi,H14,,full_v4,session_fixed,band9,
0.019100,0.018300,P4A_KUAIRECLARGESTRICTPOSV2_0_2_B01_S02_H14_SEEN_HI_RC_01_S3,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,routing_control,run_complete,KuaiRecLargeStrictPosV2_0.2,3,2,run_complete_no_result,0.290400,,,False,False,,2026-04-16T17:23:40.916134Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,routing_control,B01_S02_h14_seen_hi__RC-01,routing_control,RC-01,H14,random,essential,RC-01,SHARED_FFN,routing_control,Dense FFN only without routing or feature injection.,KuaiRecLargeStrictPosV2_0.2,1,KuaiRecLargeStrictPosV2_0.2:S02_h14_seen_hi,P4S3_S3_KUAIRECLARGESTRICTPOSV2_0_2_S02_H14_SEEN_HI_S1,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s3_s3_kuaireclargestrictposv2_0_2_s02_h14_seen_hi_s1_20260415_081315_824627_pid124072.json,manifest,0.3404,0.0188,S02_h14_seen_hi,H14,,full_v4,session_fixed,band9,
0.019100,0.018300,P4A_KUAIRECLARGESTRICTPOSV2_0_2_B01_S02_H14_SEEN_HI_RC_01_S2,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,routing_control,run_complete,KuaiRecLargeStrictPosV2_0.2,2,1,run_complete_no_result,0.290400,,,False,False,,2026-04-16T17:24:05.527936Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,routing_control,B01_S02_h14_seen_hi__RC-01,routing_control,RC-01,H14,random,essential,RC-01,SHARED_FFN,routing_control,Dense FFN only without routing or feature injection.,KuaiRecLargeStrictPosV2_0.2,1,KuaiRecLargeStrictPosV2_0.2:S02_h14_seen_hi,P4S3_S3_KUAIRECLARGESTRICTPOSV2_0_2_S02_H14_SEEN_HI_S1,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s3_s3_kuaireclargestrictposv2_0_2_s02_h14_seen_hi_s1_20260415_081315_824627_pid124072.json,manifest,0.3404,0.0188,S02_h14_seen_hi,H14,,full_v4,session_fixed,band9,
0.019300,0.019300,P40_KUAIRECLARGESTRICTPOSV2_0_2_B01_S02_H14_SEEN_HI_BL_00_S2,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,baseline_pool,trial_new_best,KuaiRecLargeStrictPosV2_0.2,2,4,running,0.339700,,,,,,2026-04-16T17:24:17.545794Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,baseline_pool,B01_S02_h14_seen_hi__BL-00,baseline_pool,BL-00,H14,random,essential,BL-00,BASE_REPLAY,baseline_pool,Replay and retune the selected base configuration under the ablation runtime.,KuaiRecLargeStrictPosV2_0.2,1,KuaiRecLargeStrictPosV2_0.2:S02_h14_seen_hi,P4S3_S3_KUAIRECLARGESTRICTPOSV2_0_2_S02_H14_SEEN_HI_S1,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s3_s3_kuaireclargestrictposv2_0_2_s02_h14_seen_hi_s1_20260415_081315_824627_pid124072.json,manifest,0.3404,0.0188,S02_h14_seen_hi,H14,,full_v4,session_fixed,band9,
0.019300,0.019300,P40_KUAIRECLARGESTRICTPOSV2_0_2_B01_S02_H14_SEEN_HI_BL_00_S3,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,baseline_pool,run_complete,KuaiRecLargeStrictPosV2_0.2,3,5,run_complete_no_result,0.339700,,,False,False,,2026-04-16T17:35:32.197347Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,baseline_pool,B01_S02_h14_seen_hi__BL-00,baseline_pool,BL-00,H14,random,essential,BL-00,BASE_REPLAY,baseline_pool,Replay and retune the selected base configuration under the ablation runtime.,KuaiRecLargeStrictPosV2_0.2,1,KuaiRecLargeStrictPosV2_0.2:S02_h14_seen_hi,P4S3_S3_KUAIRECLARGESTRICTPOSV2_0_2_S02_H14_SEEN_HI_S1,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s3_s3_kuaireclargestrictposv2_0_2_s02_h14_seen_hi_s1_20260415_081315_824627_pid124072.json,manifest,0.3404,0.0188,S02_h14_seen_hi,H14,,full_v4,session_fixed,band9,
0.019300,0.019300,P40_KUAIRECLARGESTRICTPOSV2_0_2_B01_S02_H14_SEEN_HI_BL_00_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,baseline_pool,run_complete,KuaiRecLargeStrictPosV2_0.2,1,3,run_complete_no_result,0.339700,,,False,False,,2026-04-16T17:36:18.357274Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,baseline_pool,B01_S02_h14_seen_hi__BL-00,baseline_pool,BL-00,H14,random,essential,BL-00,BASE_REPLAY,baseline_pool,Replay and retune the selected base configuration under the ablation runtime.,KuaiRecLargeStrictPosV2_0.2,1,KuaiRecLargeStrictPosV2_0.2:S02_h14_seen_hi,P4S3_S3_KUAIRECLARGESTRICTPOSV2_0_2_S02_H14_SEEN_HI_S1,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s3_s3_kuaireclargestrictposv2_0_2_s02_h14_seen_hi_s1_20260415_081315_824627_pid124072.json,manifest,0.3404,0.0188,S02_h14_seen_hi,H14,,full_v4,session_fixed,band9,
0.019300,0.019300,P40_KUAIRECLARGESTRICTPOSV2_0_2_B01_S02_H14_SEEN_HI_BL_00_S2,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,baseline_pool,run_complete,KuaiRecLargeStrictPosV2_0.2,2,4,run_complete_no_result,0.339700,,,False,False,,2026-04-16T17:36:39.902894Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,baseline_pool,B01_S02_h14_seen_hi__BL-00,baseline_pool,BL-00,H14,random,essential,BL-00,BASE_REPLAY,baseline_pool,Replay and retune the selected base configuration under the ablation runtime.,KuaiRecLargeStrictPosV2_0.2,1,KuaiRecLargeStrictPosV2_0.2:S02_h14_seen_hi,P4S3_S3_KUAIRECLARGESTRICTPOSV2_0_2_S02_H14_SEEN_HI_S1,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s3_s3_kuaireclargestrictposv2_0_2_s02_h14_seen_hi_s1_20260415_081315_824627_pid124072.json,manifest,0.3404,0.0188,S02_h14_seen_hi,H14,,full_v4,session_fixed,band9,
0.019300,0.000000,P4A_KUAIRECLARGESTRICTPOSV2_0_2_B01_S02_H14_SEEN_HI_RC_05_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,routing_control,run_complete,KuaiRecLargeStrictPosV2_0.2,1,3,run_complete_no_result,0.000000,,,False,False,,2026-04-16T17:38:54.247339Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,routing_control,B01_S02_h14_seen_hi__RC-05,routing_control,RC-05,H14,random,essential,RC-05,NO_ROUTER_WITH_BIAS_INJECTION,routing_control,Disable routing but keep gated feature bias injection.,KuaiRecLargeStrictPosV2_0.2,1,KuaiRecLargeStrictPosV2_0.2:S02_h14_seen_hi,P4S3_S3_KUAIRECLARGESTRICTPOSV2_0_2_S02_H14_SEEN_HI_S1,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s3_s3_kuaireclargestrictposv2_0_2_s02_h14_seen_hi_s1_20260415_081315_824627_pid124072.json,manifest,0.3404,0.0188,S02_h14_seen_hi,H14,,full_v4,session_fixed,band9,
0.019300,0.000000,P4A_KUAIRECLARGESTRICTPOSV2_0_2_B01_S02_H14_SEEN_HI_RC_05_S2,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,routing_control,run_complete,KuaiRecLargeStrictPosV2_0.2,2,4,run_complete_no_result,0.000000,,,False,False,,2026-04-16T17:39:15.741576Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,routing_control,B01_S02_h14_seen_hi__RC-05,routing_control,RC-05,H14,random,essential,RC-05,NO_ROUTER_WITH_BIAS_INJECTION,routing_control,Disable routing but keep gated feature bias injection.,KuaiRecLargeStrictPosV2_0.2,1,KuaiRecLargeStrictPosV2_0.2:S02_h14_seen_hi,P4S3_S3_KUAIRECLARGESTRICTPOSV2_0_2_S02_H14_SEEN_HI_S1,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s3_s3_kuaireclargestrictposv2_0_2_s02_h14_seen_hi_s1_20260415_081315_824627_pid124072.json,manifest,0.3404,0.0188,S02_h14_seen_hi,H14,,full_v4,session_fixed,band9,
