question,stage,dataset,model,family,panel_family,variant_group,variant_label,variant_order,job_id,parent_job_id,run_phase,setting_key,setting_label,base_rank,base_tag,seed_id,runtime_seed,gpu_id,status,selection_rule,valid_score,test_score,best_valid_mrr20,test_mrr20,checkpoint_file,result_path,base_result_json,log_path,elapsed_sec,error,timestamp_utc
objective,objective,beauty,featured_moe_n3,route,,full_objective,Full objective,1,OBJECTIVE_BEAUTY_FULL_OBJECTIVE_R01_S1,,OBJECTIVE_BEAUTY_FULL_OBJECTIVE_R01_S1,full_objective,Full objective,1,beauty_top01_rfmoe,1,960001,dry-run,planned,overall_seen_target,,,,,,,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/appendix/objective/beauty/featured_moe_n3/route/OBJECTIVE_BEAUTY_FULL_OBJECTIVE_R01_S1.log,0.0,,2026-04-19T18:10:44.768162Z
objective,objective,beauty,featured_moe_n3,route,,no_auxiliary,No auxiliary loss,2,OBJECTIVE_BEAUTY_NO_AUXILIARY_R01_S1,,OBJECTIVE_BEAUTY_NO_AUXILIARY_R01_S1,no_auxiliary,No Auxiliary Loss,1,beauty_top01_rfmoe,1,960002,dry-run,planned,overall_seen_target,,,,,,,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/appendix/objective/beauty/featured_moe_n3/route/OBJECTIVE_BEAUTY_NO_AUXILIARY_R01_S1.log,0.0,,2026-04-19T18:10:44.768463Z
objective,objective,beauty,featured_moe_n3,route,,consistency_only,KNN consistency only,3,OBJECTIVE_BEAUTY_CONSISTENCY_ONLY_R01_S1,,OBJECTIVE_BEAUTY_CONSISTENCY_ONLY_R01_S1,consistency_only,Consistency Only,1,beauty_top01_rfmoe,1,960003,dry-run,planned,overall_seen_target,,,,,,,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/appendix/objective/beauty/featured_moe_n3/route/OBJECTIVE_BEAUTY_CONSISTENCY_ONLY_R01_S1.log,0.0,,2026-04-19T18:10:44.768624Z
objective,objective,beauty,featured_moe_n3,route,,zloss_only,Z-loss only,4,OBJECTIVE_BEAUTY_ZLOSS_ONLY_R01_S1,,OBJECTIVE_BEAUTY_ZLOSS_ONLY_R01_S1,zloss_only,Z-Loss Only,1,beauty_top01_rfmoe,1,960004,dry-run,planned,overall_seen_target,,,,,,,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/appendix/objective/beauty/featured_moe_n3/route/OBJECTIVE_BEAUTY_ZLOSS_ONLY_R01_S1.log,0.0,,2026-04-19T18:10:44.768763Z
objective,objective,beauty,featured_moe_n3,route,,balance_only,Balance only,5,OBJECTIVE_BEAUTY_BALANCE_ONLY_R01_S1,,OBJECTIVE_BEAUTY_BALANCE_ONLY_R01_S1,balance_only,Balance Only,1,beauty_top01_rfmoe,1,960005,dry-run,planned,overall_seen_target,,,,,,,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/appendix/objective/beauty/featured_moe_n3/route/OBJECTIVE_BEAUTY_BALANCE_ONLY_R01_S1.log,0.0,,2026-04-19T18:10:44.768897Z
objective,objective,beauty,featured_moe_n3,route,,consistency_plus_zloss,Consistency + z-loss,6,OBJECTIVE_BEAUTY_CONSISTENCY_PLUS_ZLOSS_R01_S1,,OBJECTIVE_BEAUTY_CONSISTENCY_PLUS_ZLOSS_R01_S1,consistency_plus_zloss,Consistency + z-Loss,1,beauty_top01_rfmoe,1,960006,dry-run,planned,overall_seen_target,,,,,,,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/appendix/objective/beauty/featured_moe_n3/route/OBJECTIVE_BEAUTY_CONSISTENCY_PLUS_ZLOSS_R01_S1.log,0.0,,2026-04-19T18:10:44.769030Z
objective,objective,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,consistency_only,KNN consistency only,3,OBJECTIVE_KUAIRECLARGESTRICTPOSV2_0_2_CONSISTENCY_ONLY_R01_S1,,OBJECTIVE_KUAIRECLARGESTRICTPOSV2_0_2_CONSISTENCY_ONLY_R01_S1,consistency_only,Consistency Only,1,kuaireclargestrictposv2_0_2_top01_rfmoe,1,960003,2,fail,overall_seen_target,0.0,0.0,0.0,0.0,,,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/appendix/objective/kuaireclargestrictposv2_0_2/featured_moe_n3/route/OBJECTIVE_KUAIRECLARGESTRICTPOSV2_0_2_CONSISTENCY_ONLY_R01_S1.log,5.4250946044921875,rc=1 tail=[RUN_STATUS] END status=normal pid=1099402 start=2026-04-20T01:02:04 end=2026-04-20T01:02:05,2026-04-20T01:02:06.076930Z
objective,objective,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,consistency_plus_zloss,Consistency + z-loss,6,OBJECTIVE_KUAIRECLARGESTRICTPOSV2_0_2_CONSISTENCY_PLUS_ZLOSS_R01_S1,,OBJECTIVE_KUAIRECLARGESTRICTPOSV2_0_2_CONSISTENCY_PLUS_ZLOSS_R01_S1,consistency_plus_zloss,Consistency + z-Loss,1,kuaireclargestrictposv2_0_2_top01_rfmoe,1,960006,5,fail,overall_seen_target,0.0,0.0,0.0,0.0,,,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/appendix/objective/kuaireclargestrictposv2_0_2/featured_moe_n3/route/OBJECTIVE_KUAIRECLARGESTRICTPOSV2_0_2_CONSISTENCY_PLUS_ZLOSS_R01_S1.log,5.410799026489258,rc=1 tail=[RUN_STATUS] END status=normal pid=1099408 start=2026-04-20T01:02:04 end=2026-04-20T01:02:05,2026-04-20T01:02:06.077557Z
objective,objective,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,zloss_only,Z-loss only,4,OBJECTIVE_KUAIRECLARGESTRICTPOSV2_0_2_ZLOSS_ONLY_R01_S1,,OBJECTIVE_KUAIRECLARGESTRICTPOSV2_0_2_ZLOSS_ONLY_R01_S1,zloss_only,Z-Loss Only,1,kuaireclargestrictposv2_0_2_top01_rfmoe,1,960004,3,fail,overall_seen_target,0.0,0.0,0.0,0.0,,,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/appendix/objective/kuaireclargestrictposv2_0_2/featured_moe_n3/route/OBJECTIVE_KUAIRECLARGESTRICTPOSV2_0_2_ZLOSS_ONLY_R01_S1.log,5.618427515029907,rc=1 tail=[RUN_STATUS] END status=normal pid=1099405 start=2026-04-20T01:02:04 end=2026-04-20T01:02:05,2026-04-20T01:02:06.275131Z
objective,objective,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,,no_auxiliary,No auxiliary loss,2,OBJECTIVE_KUAIRECLARGESTRICTPOSV2_0_2_NO_AUXILIARY_R01_S1,,OBJECTIVE_KUAIRECLARGESTRICTPOSV2_0_2_NO_AUXILIARY_R01_S1,no_auxiliary,No Auxiliary Loss,1,kuaireclargestrictposv2_0_2_top01_rfmoe,1,960002,1,fail,overall_seen_target,0.0,0.0,0.0,0.0,,,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/appendix/objective/kuaireclargestrictposv2_0_2/featured_moe_n3/route/OBJECTIVE_KUAIRECLARGESTRICTPOSV2_0_2_NO_AUXILIARY_R01_S1.log,5.622011661529541,rc=1 tail=[RUN_STATUS] END status=normal pid=1099403 start=2026-04-20T01:02:04 end=2026-04-20T01:02:05,2026-04-20T01:02:06.276407Z
