best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0118,1,9.769593477249146,1,0.0009735349421403039,0,698.5437054634094,1,0.0118
0.0155,3,8.877548456192017,1,0.000971771393991734,0,601.3460397720337,1,0.0155
0.0176,10,8.892512559890747,1,0.0009518772153902268,0,533.2697124481201,1,0.0176
0.0177,14,8.779513120651245,1,0.000931218932189632,0,519.5748949050903,1,0.0177
0.0177,24,8.76616382598877,1,0.0008526985708030248,10,495.6127986907959,1,0.0173
0.0126,1,9.098731756210327,1,0.001238522594131472,0,691.2088146209717,2,0.0126
0.016,3,8.845405578613281,1,0.0012362790236818684,0,589.0644607543945,2,0.016
0.0175,10,8.70289421081543,1,0.0012109698245734274,0,528.0224194526672,2,0.0175
0.0175,20,8.544783115386963,1,0.0011302489251163491,10,498.03011894226074,2,0.0172
0.0116,1,8.873867273330688,1,0.0007939841510906785,0,704.18670129776,3,0.0116
0.0153,3,8.731007099151611,1,0.0007925458572821671,0,613.1895451545715,3,0.0153
0.0173,10,8.706617832183838,1,0.0007763207976311621,0,538.8967781066895,3,0.0173
0.018,16,8.698476552963257,1,0.0007490811419980633,0,519.4245610237122,3,0.018
0.018,26,8.551421165466309,1,0.0006792717497552101,10,498.2235288619995,3,0.0171
