best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0132,1,14.05889630317688,1,0.0006871434417377025,0,675.1752972602844,1,0.0132
0.0169,3,13.222880840301514,1,0.0006858986887329317,0,567.1625180244446,1,0.0169
0.0185,10,13.789613246917725,1,0.0006718569181060546,0,464.31420707702637,1,0.0185
0.0196,11,13.616811513900757,1,0.0006686470086290488,0,451.3368396759033,1,0.0196
0.0196,21,11.200000047683716,1,0.0006211286663464379,10,334.78459548950195,1,0.0156
0.0147,1,11.719789743423462,1,0.0009792320200307926,0,663.0047307014465,2,0.0147
0.0167,3,11.257426738739014,1,0.0009774581516864792,1,553.0717058181763,2,0.0162
0.0175,10,11.132435083389282,1,0.0009574475533447509,0,441.89492559432983,2,0.0175
0.0175,20,12.79623031616211,1,0.0008936259567032394,10,304.43646264076233,2,0.0138
0.0134,1,13.001744031906128,1,0.0008105254809813325,0,669.5315113067627,3,0.0134
0.0169,3,12.243023157119751,1,0.0008090572227304157,1,559.9808192253113,3,0.0165
0.0187,10,12.802245616912842,1,0.000792494141138023,0,453.1235122680664,3,0.0187
0.0187,20,12.518235206604004,1,0.0007396680189762588,10,324.0382812023163,3,0.0152
