best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0179,1,7.195009708404541,1,0.0004212156057263906,0,418.415433883667,1,0.0179
0.0926,3,6.499689102172852,1,0.0004204525781559632,0,351.1545271873474,1,0.0926
0.1975,10,6.3377366065979,1,0.0004118450406888024,0,199.6174659729004,1,0.1975
0.2047,15,6.388875484466553,1,0.0004002353716987173,0,150.1891176700592,1,0.2047
0.2047,25,5.980064630508423,1,0.00036471368757448104,10,93.25496315956116,1,0.1941
0.0302,1,6.5490195751190186,1,0.0006948519000186868,0,410.65055751800537,2,0.0302
0.1471,3,6.360728025436401,1,0.0006935931832240803,0,307.94679975509644,2,0.1471
0.2046,8,6.535974740982056,1,0.000684985179891723,0,176.3346381187439,2,0.2046
0.2046,10,6.169919729232788,1,0.0006793938903151092,2,148.0261528491974,2,0.2027
0.2046,18,6.1287126541137695,1,0.000645360732367945,10,80.32704019546509,2,0.1898
0.0195,1,6.598150253295898,1,0.0004703386804650984,0,416.77403450012207,3,0.0195
0.1078,3,6.336574077606201,1,0.0004694866669695052,0,342.6005721092224,3,0.1078
0.2007,10,6.443035364151001,1,0.0004598752998707561,0,188.06182432174683,3,0.2007
0.2051,15,6.444781064987183,1,0.000446911686179339,0,138.48100090026855,3,0.2051
0.2051,25,5.639711618423462,1,0.00040724738644362635,10,82.50093948841095,3,0.1918
