best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0312,1,7.497928857803345,1,0.0011011554618350734,0,409.2511787414551,1,0.0312
0.1513,3,6.694233179092407,1,0.0010991607304782947,0,298.9800820350647,1,0.1513
0.1975,7,6.804312705993652,1,0.0010892272017477824,0,180.50495958328247,1,0.1975
0.1975,10,6.4655327796936035,1,0.001076658627597826,3,135.002534866333,1,0.1919
0.1975,17,6.444945335388184,1,0.001031016991761613,10,76.7320568561554,1,0.1816
0.0173,1,6.845080137252808,1,0.0006813701061183595,0,415.9585552215576,2,0.0173
0.1051,3,6.682357549667358,1,0.0006801358114493935,0,342.3719425201416,2,0.1051
0.1941,10,6.444583415985107,1,0.0006662120188888045,1,182.718665599823,2,0.1939
0.2003,11,6.639491081237793,1,0.0006630290788676545,0,170.72962141036987,2,0.2003
0.2003,21,6.098528623580933,1,0.0006159099826833233,10,96.06340527534485,2,0.1881
0.0168,1,6.7804083824157715,1,0.0007404002545478873,0,414.81017780303955,3,0.0168
0.116,3,6.623403310775757,1,0.0007390590273955902,0,335.01839113235474,3,0.116
0.1973,10,6.427173376083374,1,0.000723928954233353,2,174.01970195770264,3,0.1936
0.1981,11,6.615417718887329,1,0.0007204702618417899,0,162.02391362190247,3,0.1981
0.1981,21,6.422699928283691,1,0.000669269027012616,10,88.46676170825958,3,0.1861
