best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.017,1,7.5392866134643555,1,0.000750978538693418,0,414.44133853912354,1,0.017
0.1279,3,6.7103118896484375,1,0.0007496181490923864,0,329.7767872810364,1,0.1279
0.1974,10,6.762430429458618,1,0.0007342719087799225,0,171.4104881286621,1,0.1974
0.1995,11,6.6816020011901855,1,0.0007307638011826444,0,159.7751452922821,1,0.1995
0.1995,21,5.4340901374816895,1,0.0006788310414690608,10,88.1390825510025,1,0.1874
0.0288,1,5.856919288635254,1,0.0009894693353222244,0,410.24928760528564,2,0.0288
0.1528,3,6.557089567184448,1,0.0009876769221906136,0,304.59678173065186,2,0.1528
0.1985,9,6.586117744445801,1,0.0009716532619151565,0,157.3265998363495,2,0.1985
0.1985,10,6.342888116836548,1,0.0009674571243944107,1,144.38220763206482,2,0.1968
0.1985,19,5.488626480102539,1,0.0009111657882340802,10,74.82448053359985,2,0.1799
0.0168,1,5.876287460327148,1,0.000732538511302658,0,414.8099145889282,3,0.0168
0.1263,3,5.6783974170684814,1,0.0007312115256142719,0,331.9852337837219,3,0.1263
0.1973,10,5.813905954360962,1,0.0007162421071111228,0,173.92233538627625,3,0.1973
0.1985,11,5.798868894577026,1,0.0007128201399251219,0,162.27216362953186,3,0.1985
0.1985,21,5.607418775558472,1,0.0006621625717945927,10,90.40304708480835,3,0.1883
