stage_name,stage_key,split,aggregation_level,node_kind,node_name,route_space,support_size,wrapper_name,source_type,temperature,top_k,entropy_norm,n_eff_norm,top1_monopoly_norm,jitter_adj_norm,knn_consistency_score,knn_consistency_js,n_eff,cv_usage,top1_max_frac,entropy_mean
macro,macro@1,best_valid,token,final,final.expert,expert,12,FlatJointWrapper,,,,0.9381752245421281,0.9941977041303472,0.06690474342054191,0.698108542465076,0.9646170353112102,0.03602411101056014,11.930372449564167,0.07639375722184691,0.14466268146883007,2.3312778541310846
macro,macro@1,best_valid,token,final,final.group,group,4,FlatJointWrapper,,,,0.9650133400898208,0.9989311211415093,0.06530031312268718,0.0,0.988262659681582,0.011806766685943056,3.995724484566037,0.032713379710912704,0.2989752348420154,1.3377925517719897
macro,macro@1,best_valid,token,final,final.intra.Exposure,intra,3,FlatJointWrapper,,,,0.9010242143612508,0.9952656822994689,0.07886421861656702,0.0,0.9763963797646955,0.023886648208125128,2.9857970468984067,0.06897060052875284,0.38590947907771134,0.9898762742847993
macro,macro@1,best_valid,token,final,final.intra.Focus,intra,3,FlatJointWrapper,,,,0.9109924810439537,0.9949468712208874,0.12933390264730998,0.0,0.9738897418123262,0.026457183172083204,2.984840613662662,0.0712668677429478,0.41955593509820666,1.0008275345591375
macro,macro@1,best_valid,token,final,final.intra.Memory,intra,3,FlatJointWrapper,,,,0.9048123485119466,0.9897737575754518,0.10243381725021349,0.0,0.9752329161886552,0.025078948114959285,2.9693212727263556,0.10164595092398075,0.40162254483347565,0.994037965013877
macro,macro@1,best_valid,token,final,final.intra.Tempo,intra,3,FlatJointWrapper,,,,0.9347891871010046,0.9998121614496177,0.07297181895815542,0.0,0.9813903602169739,0.01878497785575085,2.9994364843488532,0.01370796240991466,0.3819812126387703,1.0269708882632365
mid,mid@1,best_valid,session,final,final.expert,expert,12,FlatJointWrapper,,,,0.9433133585155997,0.9965186445394502,0.05125378464404937,0.6880949437507726,0.9651607762182938,0.035460584040538805,11.958223734473401,0.05910612250006929,0.13031596925704525,2.3440456374092657
mid,mid@1,best_valid,session,final,final.group,group,4,FlatJointWrapper,,,,0.9599057823465342,0.9990636541308431,0.04742385425562201,0.0,0.9850684162962318,0.01504418205339189,3.9962546165233723,0.030613843351602554,0.2855678906917165,1.3307119732733774
mid,mid@1,best_valid,session,final,final.intra.Exposure,intra,3,FlatJointWrapper,,,,0.9130225028367313,0.9980449825342889,0.14496157130657558,0.0,0.977362484663266,0.022897677670457486,2.9941349476028667,0.044259713574954465,0.4299743808710504,1.003057741446947
mid,mid@1,best_valid,session,final,final.intra.Focus,intra,3,FlatJointWrapper,,,,0.9360021521651082,0.9987433271624804,0.0066182749786507225,0.0,0.9828644800581009,0.01728403196253193,2.996229981487441,0.03547260990820498,0.3377455166524338,1.028303466588386
mid,mid@1,best_valid,session,final,final.intra.Memory,intra,3,FlatJointWrapper,,,,0.9437184743211385,0.9942317286863837,0.17980358667805296,0.0,0.9841035334817205,0.016024170511830943,2.982695186059151,0.0761691402295488,0.453202391118702,1.0367807129323228
mid,mid@1,best_valid,session,final,final.intra.Tempo,intra,3,FlatJointWrapper,,,,0.9182183110689552,0.9912715811644635,0.14419299743808708,0.0,0.9763523339423205,0.023931759821384263,2.9738147434933904,0.09383629727851459,0.42946199829205806,1.0087659202204313
