best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.02,1,7.235931873321533,1,0.0005041908222943789,0,415.7170829772949,1,0.02
0.1167,3,6.48906135559082,1,0.0005032774860054642,0,336.7600736618042,1,0.1167
0.2006,10,6.413857460021973,1,0.0004929743506645658,0,180.80227279663086,1,0.2006
0.2043,15,6.461019277572632,1,0.0004790776942370763,0,131.26832675933838,1,0.2043
0.2043,25,6.224594593048096,1,0.00043655859740305853,10,76.00091409683228,1,0.1911
0.0149,1,6.655531883239746,1,0.0003395227881126165,0,421.51730251312256,2,0.0149
0.0646,3,6.431272506713867,1,0.0003389077462086691,0,365.5996036529541,2,0.0646
0.1897,10,6.440095901489258,1,0.000331969600803077,0,222.37567472457886,2,0.1897
0.2046,17,6.436805009841919,1,0.0003178967691365046,0,158.7927737236023,2,0.2046
0.2046,27,5.883929252624512,1,0.00028685558629192904,10,107.22433662414551,2,0.1979
0.0196,1,6.638433218002319,1,0.0004818130671896285,0,416.4101867675781,3,0.0196
0.1109,3,6.43703031539917,1,0.00048094026796505115,0,340.6164917945862,3,0.1109
0.2009,10,6.529094696044922,1,0.0004710944218671829,0,185.5421872138977,3,0.2009
0.205,15,6.563896894454956,1,0.0004578145477382963,0,135.9617919921875,3,0.205
0.205,25,6.220177888870239,1,0.0004171825973856384,10,80.21661818027496,3,0.1922
