best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0138,1,6.044955253601074,1,0.00037399487587756427,0,419.4629306793213,1,0.0138
0.0761,3,5.432857275009155,1,0.000373317388154855,0,359.70256996154785,1,0.0761
0.1919,10,5.324352979660034,1,0.00036567480591697527,0,211.62364149093628,1,0.1919
0.2003,20,5.342328071594238,1,0.00034129963269347355,0,130.48216009140015,1,0.2003
0.2003,30,5.130990743637085,1,0.00030338815647151427,10,89.84245502948761,1,0.1921
0.0133,1,5.565943479537964,1,0.00035362195511980175,0,420.2548780441284,2,0.0133
0.0683,3,5.386239767074585,1,0.0003529813727254255,0,363.317907333374,2,0.0683
0.1895,10,5.273332357406616,1,0.00034575511095704856,0,217.54329109191895,2,0.1895
0.201,17,5.236246347427368,1,0.0003310978849261568,0,154.5923957824707,2,0.201
0.201,27,5.266704082489014,1,0.00029876767278413956,10,105.26548027992249,2,0.1943
0.0132,1,5.64321494102478,1,0.0003514565740886794,0,420.3412160873413,3,0.0132
0.0677,3,4.937206029891968,1,0.0003508199142589108,0,363.69828510284424,3,0.0677
0.1891,10,4.930447340011597,1,0.00034363790203424183,0,218.19363498687744,3,0.1891
0.2009,17,5.300553321838379,1,0.0003290704285731684,0,155.24822473526,3,0.2009
0.2009,27,5.125770568847656,1,0.00029693818838139605,10,105.86813020706177,3,0.1944
