best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.1479,1,17.86428189277649,1,0.0014076086998324323,0,1430.851318359375,1,0.1479
0.267,3,16.847326040267944,1,0.0014050588317084973,0,697.8611369132996,1,0.267
0.3047,6,16.773936986923218,1,0.0013964782849379591,0,392.3471567630768,1,0.3047
0.3047,10,16.295965909957886,1,0.0013762943594092935,4,188.84467911720276,1,0.2931
0.3047,16,16.27107310295105,1,0.0013280027452795672,10,110.15340918302536,1,0.2889
0.1383,1,15.588751316070557,1,0.0011731150708167023,0,1467.4163365364075,2,0.1383
0.2574,3,16.48177742958069,1,0.0011709899853969124,0,733.1014924049377,2,0.2574
0.3056,6,16.151941061019897,1,0.0011638388724963143,0,425.8703179359436,2,0.3056
0.3056,10,16.09183168411255,1,0.0011470173884938792,4,201.48690229654312,2,0.2996
0.3056,16,16.318148612976074,1,0.0011067706776456223,10,107.69594463706017,2,0.2926
0.1263,1,16.797916650772095,1,0.0009535288482043928,0,1505.031792640686,3,0.1263
0.2411,3,16.61573815345764,1,0.0009518015408812865,0,789.5192604064941,3,0.2411
0.3081,9,16.56151509284973,1,0.0009363599078957636,0,283.10652005672455,3,0.3081
0.3081,10,16.3384428024292,1,0.0009323161866461697,1,236.7919065952301,3,0.306
0.3081,19,15.66373872756958,1,0.0008780695202597207,10,91.80319333076477,3,0.2963
