best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.2942,1,35.32627773284912,1,0.000717807298979477,0,2167.9029841423035,1,0.2942
0.3538,3,34.33752632141113,1,0.0007165069987248583,0,1130.7443580627441,1,0.3538
0.3704,6,33.22012495994568,1,0.0007121313657084807,0,816.1078586578369,1,0.3704
0.3704,10,33.2011284828186,1,0.0007018386124253708,4,670.7415120601654,1,0.3593
0.3704,16,33.19223189353943,1,0.0006772123984030047,10,492.75505661964417,1,0.3317
0.3069,1,34.07240319252014,1,0.000873603032779,0,2104.0449709892273,2,0.3069
0.3612,3,33.67205500602722,1,0.0008720205102167842,0,1055.876148223877,2,0.3612
0.3709,5,33.66610240936279,1,0.0008688618373521691,0,846.4229879379272,2,0.3709
0.3709,10,33.37816309928894,1,0.00085416843936793,5,639.8864126205444,2,0.3537
0.3709,15,33.35622835159302,1,0.0008300899344374012,10,483.88157284259796,2,0.3277
0.3013,1,34.43149781227112,1,0.0008021582878053803,0,2132.7499227523804,3,0.3013
0.3588,3,32.69341158866882,1,0.0008007051866355248,0,1085.3118524551392,3,0.3588
0.3711,6,34.65537619590759,1,0.0007958153641253995,0,804.1304025650024,3,0.3711
0.3711,10,33.29390501976013,1,0.0007843130885674314,4,652.5993189811707,3,0.3555
0.3711,16,31.321723461151123,1,0.0007567929982822046,10,472.3328934907913,3,0.3254
