best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.3049,1,31.09464693069458,1,0.0007355118092640104,0,2139.5605964660645,1,0.3049
0.3578,3,27.139474391937256,1,0.0007341794374781275,0,1106.672595500946,1,0.3578
0.3702,5,29.98230004310608,1,0.0007315200588972912,0,866.8973736763,1,0.3702
0.3702,10,30.212977170944214,1,0.0007191492596553914,5,670.7633013725281,1,0.3578
0.3702,15,29.44236421585083,1,0.0006988768658319762,10,516.5924346446991,1,0.3353
0.2914,1,29.949012279510498,1,0.0005746424935781734,0,2211.577094078064,2,0.2914
0.3461,3,27.31769061088562,1,0.0005736015348392797,0,1224.4151949882507,2,0.3461
0.3719,7,29.466469287872314,1,0.0005684176821340321,0,804.7427461147308,2,0.3719
0.3719,10,29.213332891464233,1,0.0005618587201703717,3,710.9984316825867,2,0.3664
0.3719,17,29.50682020187378,1,0.0005380404453336833,10,524.5723820924759,2,0.3388
0.2621,1,29.224180459976196,1,0.00043164546338862796,0,2279.775951385498,3,0.2621
0.3307,3,29.92404007911682,1,0.00043086354224245517,0,1399.093424797058,3,0.3307
0.3725,8,29.666869640350342,1,0.0004255162076706618,0,818.9663751125336,3,0.3725
0.3725,10,29.03262162208557,1,0.00042204287071904295,2,756.545238494873,3,0.3706
0.3725,18,27.86842131614685,1,0.000400901303383202,10,579.9374294281006,3,0.352
