dataset,model,config_rank,seed_count,mean_valid_score,mean_test_score,config_json,result_paths_json
KuaiRecLargeStrictPosV2_0.2,difsr,1,3,0.018359594913214806,0.2890783180327456,"{""MAX_ITEM_LIST_LENGTH"": 10, ""attn_dropout_prob"": 0.15, ""attribute_hidden_size"": 128, ""dropout_ratio"": 0.12, ""fusion_type"": ""sum"", ""hidden_dropout_prob"": 0.1, ""hidden_size"": 96, ""inner_size"": 320, ""lambda_attr"": 0.14, ""learning_rate"": 0.00229281, ""num_heads"": 4, ""num_layers"": 2, ""selected_features"": [""category""], ""use_attribute_predictor"": true, ""weight_decay"": 0.0001}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_DIFSR_s3_kuaireclargestrictposv2_0_2_difsr_c2_seed2_20260418_131911_739643_pid1696622.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_DIFSR_s3_kuaireclargestrictposv2_0_2_difsr_c2_seed3_20260418_131925_511136_pid1696698.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_DIFSR_s3_kuaireclargestrictposv2_0_2_difsr_c2_seed1_20260418_131910_257349_pid1696605.json""]"
KuaiRecLargeStrictPosV2_0.2,sasrec,1,3,0.02428950194897778,0.304769773899124,"{""MAX_ITEM_LIST_LENGTH"": 20, ""attn_dropout_prob"": 0.1, ""dropout_ratio"": 0.15, ""embedding_size"": 96, ""hidden_dropout_prob"": 0.2, ""hidden_size"": 64, ""inner_size"": 256, ""learning_rate"": 0.0005164, ""num_heads"": 1, ""num_layers"": 3, ""weight_decay"": 0.0001}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_SASRec_s3_kuaireclargestrictposv2_0_2_sasrec_c1_seed3_20260418_131713_592838_pid1696119.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_SASRec_s3_kuaireclargestrictposv2_0_2_sasrec_c1_seed1_20260418_131657_988539_pid1695982.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_SASRec_s3_kuaireclargestrictposv2_0_2_sasrec_c1_seed2_20260418_131708_211538_pid1696093.json""]"
KuaiRecLargeStrictPosV2_0.2,tisasrec,1,3,0.02626107659754878,0.32754444444444447,"{""MAX_ITEM_LIST_LENGTH"": 10, ""attn_dropout_prob"": 0.15, ""dropout_ratio"": 0.15, ""eval_batch_size"": 3072, ""hidden_dropout_prob"": 0.2, ""hidden_size"": 64, ""inner_size"": 256, ""learning_rate"": 0.00202199, ""n_heads"": 2, ""n_layers"": 2, ""time_span"": 512, ""train_batch_size"": 1536, ""weight_decay"": 5e-05}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_TiSASRec_s3_kuaireclargestrictposv2_0_2_tisasrec_c2_seed1_20260418_131611_427691_pid1695797.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_TiSASRec_s3_kuaireclargestrictposv2_0_2_tisasrec_c2_seed2_20260418_131619_297089_pid1695845.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_TiSASRec_s3_kuaireclargestrictposv2_0_2_tisasrec_c2_seed3_20260418_131646_009606_pid1695932.json""]"
beauty,sasrec,1,3,0.1037412943899862,0.08833459618298804,"{""MAX_ITEM_LIST_LENGTH"": 20, ""attn_dropout_prob"": 0.15, ""dropout_ratio"": 0.15, ""embedding_size"": 96, ""hidden_dropout_prob"": 0.15, ""hidden_size"": 64, ""inner_size"": 256, ""learning_rate"": 0.00134164, ""num_heads"": 2, ""num_layers"": 1, ""weight_decay"": 1e-05}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_SASRec_s3_beauty_sasrec_c1_seed1_20260418_131353_546747_pid1695099.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_SASRec_s3_beauty_sasrec_c1_seed2_20260418_131353_686767_pid1695098.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_SASRec_s3_beauty_sasrec_c1_seed3_20260418_131353_761335_pid1695100.json""]"
beauty,tisasrec,1,3,0.11161770298687161,0.09861481481481482,"{""MAX_ITEM_LIST_LENGTH"": 20, ""attn_dropout_prob"": 0.12, ""dropout_ratio"": 0.15, ""eval_batch_size"": 4096, ""hidden_dropout_prob"": 0.15, ""hidden_size"": 128, ""inner_size"": 256, ""learning_rate"": 0.00042722, ""n_heads"": 4, ""n_layers"": 1, ""time_span"": 512, ""train_batch_size"": 2048, ""weight_decay"": 1e-06}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_TiSASRec_s3_beauty_tisasrec_c1_seed2_20260418_131353_771229_pid1695093.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_TiSASRec_s3_beauty_tisasrec_c1_seed3_20260418_131353_610971_pid1695096.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/beauty_TiSASRec_s3_beauty_tisasrec_c1_seed1_20260418_131353_577401_pid1695092.json""]"
foursquare,sasrec,1,3,0.2543077942294831,0.22319718575728417,"{""MAX_ITEM_LIST_LENGTH"": 30, ""attn_dropout_prob"": 0.2, ""dropout_ratio"": 0.15, ""embedding_size"": 96, ""hidden_dropout_prob"": 0.1, ""hidden_size"": 96, ""inner_size"": 256, ""learning_rate"": 0.00059161, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 5e-05}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/foursquare_SASRec_s3_foursquare_sasrec_c1_seed2_20260418_131418_524192_pid1695381.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/foursquare_SASRec_s3_foursquare_sasrec_c1_seed1_20260418_131415_080692_pid1695345.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/foursquare_SASRec_s3_foursquare_sasrec_c1_seed3_20260418_131429_992076_pid1695429.json""]"
foursquare,tisasrec,1,3,0.2587310154385882,0.21605555555555556,"{""MAX_ITEM_LIST_LENGTH"": 20, ""attn_dropout_prob"": 0.15, ""dropout_ratio"": 0.15, ""eval_batch_size"": 2048, ""hidden_dropout_prob"": 0.15, ""hidden_size"": 64, ""inner_size"": 256, ""learning_rate"": 0.0006606, ""n_heads"": 1, ""n_layers"": 2, ""time_span"": 128, ""train_batch_size"": 1024, ""weight_decay"": 0.0001}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/foursquare_TiSASRec_s3_foursquare_tisasrec_c1_seed2_20260418_131353_844137_pid1695102.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/foursquare_TiSASRec_s3_foursquare_tisasrec_c1_seed3_20260418_131414_606302_pid1695344.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/foursquare_TiSASRec_s3_foursquare_tisasrec_c1_seed1_20260418_131353_796342_pid1695101.json""]"
lastfm0.03,difsr,1,2,0.33502190006176624,0.32917307375629634,"{""MAX_ITEM_LIST_LENGTH"": 30, ""attn_dropout_prob"": 0.15, ""attribute_hidden_size"": 96, ""dropout_ratio"": 0.12, ""fusion_type"": ""sum"", ""hidden_dropout_prob"": 0.12, ""hidden_size"": 128, ""inner_size"": 320, ""lambda_attr"": 0.14, ""learning_rate"": 0.0005732, ""num_heads"": 1, ""num_layers"": 1, ""selected_features"": [""category""], ""use_attribute_predictor"": true, ""weight_decay"": 5e-05}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/lastfm0.03_DIFSR_s3_lastfm0_03_difsr_c2_seed1_20260418_132706_878063_pid1700434.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/lastfm0.03_DIFSR_s3_lastfm0_03_difsr_c2_seed2_20260418_132752_300007_pid1700496.json""]"
lastfm0.03,sasrec,1,2,0.33661260237546,0.33499542774620905,"{""MAX_ITEM_LIST_LENGTH"": 10, ""attn_dropout_prob"": 0.1, ""dropout_ratio"": 0.15, ""embedding_size"": 64, ""hidden_dropout_prob"": 0.15, ""hidden_size"": 160, ""inner_size"": 256, ""learning_rate"": 0.00020205, ""num_heads"": 2, ""num_layers"": 3, ""weight_decay"": 5e-05}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/lastfm0.03_SASRec_s3_lastfm0_03_sasrec_c1_seed1_20260418_132023_930314_pid1696993.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/lastfm0.03_SASRec_s3_lastfm0_03_sasrec_c1_seed2_20260418_132038_183788_pid1697277.json""]"
lastfm0.03,tisasrec,1,2,0.33448909534490734,0.3327897172741352,"{""MAX_ITEM_LIST_LENGTH"": 50, ""attn_dropout_prob"": 0.1, ""dropout_ratio"": 0.15, ""eval_batch_size"": 2048, ""hidden_dropout_prob"": 0.2, ""hidden_size"": 64, ""inner_size"": 256, ""learning_rate"": 0.00024666, ""n_heads"": 2, ""n_layers"": 3, ""time_span"": 512, ""train_batch_size"": 1024, ""weight_decay"": 1e-06}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/lastfm0.03_TiSASRec_s3_lastfm0_03_tisasrec_c2_seed2_20260418_132001_194895_pid1696846.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/lastfm0.03_TiSASRec_s3_lastfm0_03_tisasrec_c2_seed1_20260418_131945_382516_pid1696786.json""]"
movielens1m,bsarec,1,2,0.13434428887139419,0.09793246324254505,"{""MAX_ITEM_LIST_LENGTH"": 20, ""attn_dropout_prob"": 0.15, ""bsarec_alpha"": 0.5, ""bsarec_c"": 2, ""dropout_ratio"": 0.12, ""embedding_size"": 96, ""hidden_dropout_prob"": 0.15, ""hidden_size"": 64, ""inner_size"": 256, ""learning_rate"": 0.00137668, ""num_heads"": 1, ""num_layers"": 2, ""weight_decay"": 1e-05}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/movielens1m_BSARec_s3_movielens1m_bsarec_c1_seed1_20260418_133108_643517_pid1700854.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/movielens1m_BSARec_s3_movielens1m_bsarec_c1_seed2_20260418_133121_615513_pid1700896.json""]"
movielens1m,sasrec,1,2,0.1372420004190838,0.09522144359462686,"{""MAX_ITEM_LIST_LENGTH"": 10, ""attn_dropout_prob"": 0.15, ""dropout_ratio"": 0.15, ""embedding_size"": 96, ""hidden_dropout_prob"": 0.15, ""hidden_size"": 64, ""inner_size"": 256, ""learning_rate"": 0.00092592, ""num_heads"": 2, ""num_layers"": 2, ""weight_decay"": 1e-05}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/movielens1m_SASRec_s3_movielens1m_sasrec_c1_seed1_20260418_133332_471024_pid1701073.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/movielens1m_SASRec_s3_movielens1m_sasrec_c1_seed2_20260418_133506_281633_pid1701217.json""]"
movielens1m,tisasrec,1,2,0.15344098065699668,0.10390755016844302,"{""MAX_ITEM_LIST_LENGTH"": 30, ""attn_dropout_prob"": 0.15, ""dropout_ratio"": 0.15, ""eval_batch_size"": 2048, ""hidden_dropout_prob"": 0.2, ""hidden_size"": 160, ""inner_size"": 256, ""learning_rate"": 0.00032234, ""n_heads"": 2, ""n_layers"": 3, ""time_span"": 256, ""train_batch_size"": 1024, ""weight_decay"": 1e-05}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/movielens1m_TiSASRec_s3_movielens1m_tisasrec_c1_seed1_20260418_133026_221766_pid1700726.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/movielens1m_TiSASRec_s3_movielens1m_tisasrec_c1_seed2_20260418_133031_733175_pid1700753.json""]"
retail_rocket,bsarec,1,2,0.42694791615665684,0.42143714270671795,"{""MAX_ITEM_LIST_LENGTH"": 20, ""attn_dropout_prob"": 0.1, ""bsarec_alpha"": 0.5, ""bsarec_c"": 3, ""dropout_ratio"": 0.12, ""embedding_size"": 160, ""hidden_dropout_prob"": 0.15, ""hidden_size"": 96, ""inner_size"": 256, ""learning_rate"": 0.00137668, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 5e-05}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/retail_rocket_BSARec_s3_retail_rocket_bsarec_c1_seed1_20260418_134237_674536_pid1702157.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/retail_rocket_BSARec_s3_retail_rocket_bsarec_c1_seed2_20260418_134327_655991_pid1702266.json""]"
retail_rocket,difsr,1,2,0.4097863888471518,0.40942222222222224,"{""MAX_ITEM_LIST_LENGTH"": 20, ""attn_dropout_prob"": 0.15, ""attribute_hidden_size"": 192, ""dropout_ratio"": 0.12, ""eval_batch_size"": 2048, ""fusion_type"": ""concat"", ""hidden_dropout_prob"": 0.15, ""hidden_size"": 128, ""inner_size"": 320, ""lambda_attr"": 0.1, ""learning_rate"": 0.00068518, ""num_heads"": 2, ""num_layers"": 2, ""selected_features"": [""category""], ""train_batch_size"": 1024, ""use_attribute_predictor"": true, ""weight_decay"": 1e-06}","[""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/retail_rocket_DIFSR_s3_retail_rocket_difsr_c1_seed2_20260418_134930_023950_pid1703231.json"", ""/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/retail_rocket_DIFSR_s3_retail_rocket_difsr_c1_seed1_20260418_134832_123095_pid1702986.json""]"
