paper_section,panel,dataset,retention_target,metric,cutoff,value,reference_value,relative_gain,split,selection_rule,run_id,source_path,notes,status
Q4,Q4_retention,Beauty,remove_category,MRR,20,0.073,0.076,0.96,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04b_cue_retention.csv,Draft-fill retention preview.,draft_fill
Q4,Q4_retention,Beauty,remove_time,MRR,20,0.072,0.076,0.95,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04b_cue_retention.csv,Draft-fill retention preview.,draft_fill
Q4,Q4_retention,Beauty,sequence_only_portable,MRR,20,0.071,0.076,0.93,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04b_cue_retention.csv,Draft-fill retention preview.,draft_fill
Q4,Q4_retention,Foursquare,remove_category,MRR,20,0.139,0.143,0.97,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04b_cue_retention.csv,Draft-fill retention preview.,draft_fill
Q4,Q4_retention,Foursquare,remove_time,MRR,20,0.137,0.143,0.96,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04b_cue_retention.csv,Draft-fill retention preview.,draft_fill
Q4,Q4_retention,Foursquare,sequence_only_portable,MRR,20,0.132,0.143,0.92,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04b_cue_retention.csv,Draft-fill retention preview.,draft_fill
Q4,Q4_retention,KuaiRec,remove_category,MRR,20,0.117,0.118,0.98,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04b_cue_retention.csv,Draft-fill retention preview.,draft_fill
Q4,Q4_retention,KuaiRec,remove_time,MRR,20,0.116,0.118,0.96,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04b_cue_retention.csv,Draft-fill retention preview.,draft_fill
Q4,Q4_retention,KuaiRec,sequence_only_portable,MRR,20,0.113,0.118,0.91,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04b_cue_retention.csv,Draft-fill retention preview.,draft_fill
Q4,Q4_retention,Retail Rocket,remove_category,MRR,20,0.243,0.249,0.95,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04b_cue_retention.csv,Draft-fill retention preview.,draft_fill
Q4,Q4_retention,Retail Rocket,remove_time,MRR,20,0.24,0.249,0.92,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04b_cue_retention.csv,Draft-fill retention preview.,draft_fill
Q4,Q4_retention,Retail Rocket,sequence_only_portable,MRR,20,0.235,0.249,0.88,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04b_cue_retention.csv,Draft-fill retention preview.,draft_fill
