question,dataset,setting_key,base_rank,base_tag,seed_id,result_path,checkpoint_file,intervention_manifest,status,error,timestamp_utc,source_result_json,model,intervention,intervention_label,intervention_group,target_family,logging_dir,result_file,special_metrics_file,router_diag_file,best_valid_mrr20,test_mrr20,best_valid_seen_mrr20,test_seen_mrr20,eval_split,stage_key,expert_group,mass
a10,beauty,full,2,beauty_top02_rfmoe,3,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/intervention_manifest.csv,ok,,2026-04-19T03:32:33.228624+00:00,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262.json,FeaturedMoE_N3,full,Full,full,,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_full,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_full/intervention_result.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_full/special_metrics.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_full/router_diag.json,0.1354,0.1112,0.13541444985965803,0.11115423043231298,test,macro@1,Tempo,0.2607181668281555
a10,beauty,full,2,beauty_top02_rfmoe,3,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/intervention_manifest.csv,ok,,2026-04-19T03:32:33.228624+00:00,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262.json,FeaturedMoE_N3,full,Full,full,,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_full,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_full/intervention_result.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_full/special_metrics.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_full/router_diag.json,0.1354,0.1112,0.13541444985965803,0.11115423043231298,test,macro@1,Focus,0.2389325350522995
a10,beauty,full,2,beauty_top02_rfmoe,3,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/intervention_manifest.csv,ok,,2026-04-19T03:32:33.228624+00:00,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262.json,FeaturedMoE_N3,full,Full,full,,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_full,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_full/intervention_result.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_full/special_metrics.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_full/router_diag.json,0.1354,0.1112,0.13541444985965803,0.11115423043231298,test,macro@1,Memory,0.2712930738925934
a10,beauty,full,2,beauty_top02_rfmoe,3,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/intervention_manifest.csv,ok,,2026-04-19T03:32:33.228624+00:00,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262.json,FeaturedMoE_N3,full,Full,full,,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_full,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_full/intervention_result.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_full/special_metrics.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_full/router_diag.json,0.1354,0.1112,0.13541444985965803,0.11115423043231298,test,macro@1,Exposure,0.22905626893043518
a10,beauty,full,2,beauty_top02_rfmoe,3,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/intervention_manifest.csv,ok,,2026-04-19T03:32:37.701615+00:00,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262.json,FeaturedMoE_N3,feature_zero_all,Feature Zero All,feature_zero_all,,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_zero_all,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_zero_all/intervention_result.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_zero_all/special_metrics.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_zero_all/router_diag.json,0.1191,0.1012,0.11913746339449782,0.10117188068731527,test,macro@1,Tempo,0.24787355959415436
a10,beauty,full,2,beauty_top02_rfmoe,3,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/intervention_manifest.csv,ok,,2026-04-19T03:32:37.701615+00:00,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262.json,FeaturedMoE_N3,feature_zero_all,Feature Zero All,feature_zero_all,,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_zero_all,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_zero_all/intervention_result.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_zero_all/special_metrics.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_zero_all/router_diag.json,0.1191,0.1012,0.11913746339449782,0.10117188068731527,test,macro@1,Focus,0.2355843484401703
a10,beauty,full,2,beauty_top02_rfmoe,3,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/intervention_manifest.csv,ok,,2026-04-19T03:32:37.701615+00:00,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262.json,FeaturedMoE_N3,feature_zero_all,Feature Zero All,feature_zero_all,,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_zero_all,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_zero_all/intervention_result.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_zero_all/special_metrics.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_zero_all/router_diag.json,0.1191,0.1012,0.11913746339449782,0.10117188068731527,test,macro@1,Memory,0.29250368475914
a10,beauty,full,2,beauty_top02_rfmoe,3,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/intervention_manifest.csv,ok,,2026-04-19T03:32:37.701615+00:00,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262.json,FeaturedMoE_N3,feature_zero_all,Feature Zero All,feature_zero_all,,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_zero_all,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_zero_all/intervention_result.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_zero_all/special_metrics.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_zero_all/router_diag.json,0.1191,0.1012,0.11913746339449782,0.10117188068731527,test,macro@1,Exposure,0.22403840720653534
a10,beauty,full,2,beauty_top02_rfmoe,3,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/intervention_manifest.csv,ok,,2026-04-19T03:32:42.168920+00:00,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262.json,FeaturedMoE_N3,feature_shuffle_all,Feature Shuffle All,feature_shuffle_all,,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_shuffle_all,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_shuffle_all/intervention_result.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_shuffle_all/special_metrics.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_shuffle_all/router_diag.json,0.12,0.1042,0.11999471178013153,0.10421873536272253,test,macro@1,Tempo,0.2590911090373993
a10,beauty,full,2,beauty_top02_rfmoe,3,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/intervention_manifest.csv,ok,,2026-04-19T03:32:42.168920+00:00,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a10_beauty_full_r02_s3_20260419_030652_646587_pid705262.json,FeaturedMoE_N3,feature_shuffle_all,Feature Shuffle All,feature_shuffle_all,,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_shuffle_all,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_shuffle_all/intervention_result.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_shuffle_all/special_metrics.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a10/interventions/A10_BEAUTY_FULL_R02_S3/beauty_20260419_033225/logging/beauty_feature_shuffle_all/router_diag.json,0.12,0.1042,0.11999471178013153,0.10421873536272253,test,macro@1,Focus,0.23798954486846924
