dataset,base_rank,seed_id,intervention,intervention_label,intervention_group,target_family,best_valid_mrr20,test_mrr20,best_valid_seen_mrr20,test_seen_mrr20
KuaiRecLargeStrictPosV2_0.2,1,1,full,Full,full,,0.0194,0.3383,0.01935322270328098,0.3383006415593731
KuaiRecLargeStrictPosV2_0.2,1,1,feature_zero_all,Feature Zero All,feature_zero_all,,0.0165,0.3362,0.016505509864802884,0.33624485704926865
KuaiRecLargeStrictPosV2_0.2,1,1,feature_shuffle_all,Feature Shuffle All,feature_shuffle_all,,0.0168,0.3221,0.016841021466996012,0.3220543641209068
KuaiRecLargeStrictPosV2_0.2,1,1,shuffle_all,Shuffle All,shuffle_all,,0.017,0.3328,0.016968490500123088,0.3327585114927468
KuaiRecLargeStrictPosV2_0.2,1,1,repeat_flatten,Repeat Flatten,repeat_flatten,memory,0.0179,0.3371,0.017867903051140544,0.33706730420618813
KuaiRecLargeStrictPosV2_0.2,1,1,switch_boost,Switch Boost,switch_boost,focus,0.0187,0.3384,0.018693421627477787,0.33836251152689756
KuaiRecLargeStrictPosV2_0.2,1,1,tempo_compress,Tempo Compress,tempo_compress,tempo,0.0195,0.3379,0.01948995234366392,0.33791528763989986
KuaiRecLargeStrictPosV2_0.2,1,1,popularity_spike,Popularity Spike,popularity_spike,exposure,0.0179,0.3388,0.017874937203852866,0.3388357755435007
KuaiRecLargeStrictPosV2_0.2,1,1,feature_zero_memory,Feature Zero memory,feature_zero_by_family,memory,0.0179,0.3371,0.017867903051140544,0.33706730420618813
KuaiRecLargeStrictPosV2_0.2,1,1,feature_shuffle_memory,Feature Shuffle memory,feature_shuffle_by_family,memory,0.0181,0.3298,0.018120145719525218,0.32979551290995196
KuaiRecLargeStrictPosV2_0.2,1,1,feature_zero_focus,Feature Zero focus,feature_zero_by_family,focus,0.0188,0.3371,0.018819309100536922,0.3371360230344073
KuaiRecLargeStrictPosV2_0.2,1,1,feature_shuffle_focus,Feature Shuffle focus,feature_shuffle_by_family,focus,0.0187,0.3384,0.018693421627477787,0.33836251152689756
KuaiRecLargeStrictPosV2_0.2,1,1,feature_zero_tempo,Feature Zero tempo,feature_zero_by_family,tempo,0.019,0.3379,0.01903033270364731,0.33785058205899304
KuaiRecLargeStrictPosV2_0.2,1,1,feature_shuffle_tempo,Feature Shuffle tempo,feature_shuffle_by_family,tempo,0.019,0.3381,0.01901603894546069,0.3380674402389054
KuaiRecLargeStrictPosV2_0.2,1,1,feature_zero_exposure,Feature Zero exposure,feature_zero_by_family,exposure,0.0164,0.3374,0.016423531164608925,0.3373852547629416
KuaiRecLargeStrictPosV2_0.2,1,1,feature_shuffle_exposure,Feature Shuffle exposure,feature_shuffle_by_family,exposure,0.0179,0.3388,0.017874937203852866,0.3388357755435007
foursquare,1,1,full,Full,full,,0.2067,0.1706,0.20669109606888916,0.17062230920977445
foursquare,1,1,feature_zero_all,Feature Zero All,feature_zero_all,,0.2036,0.1693,0.2035574526433703,0.16926020166005115
foursquare,1,1,feature_shuffle_all,Feature Shuffle All,feature_shuffle_all,,0.2034,0.1696,0.2034149134327444,0.16964726389901671
foursquare,1,1,shuffle_all,Shuffle All,shuffle_all,,0.204,0.1701,0.20396828803478043,0.17014757457742397
foursquare,1,1,repeat_flatten,Repeat Flatten,repeat_flatten,memory,0.2065,0.1707,0.20646088924070802,0.17074346596555268
foursquare,1,1,switch_boost,Switch Boost,switch_boost,focus,0.2063,0.1711,0.2062646307628163,0.1711026920388333
foursquare,1,1,tempo_compress,Tempo Compress,tempo_compress,tempo,0.2073,0.171,0.20732082009282043,0.17102432811407925
foursquare,1,1,popularity_spike,Popularity Spike,popularity_spike,exposure,0.2048,0.1698,0.20483195870902893,0.16982610653237187
foursquare,1,1,feature_zero_memory,Feature Zero memory,feature_zero_by_family,memory,0.2065,0.1707,0.20646088924070802,0.17074346596555268
foursquare,1,1,feature_shuffle_memory,Feature Shuffle memory,feature_shuffle_by_family,memory,0.2076,0.1704,0.20758819466493703,0.1704014750014392
foursquare,1,1,feature_zero_focus,Feature Zero focus,feature_zero_by_family,focus,0.2074,0.171,0.20736734284623884,0.1710271380028779
foursquare,1,1,feature_shuffle_focus,Feature Shuffle focus,feature_shuffle_by_family,focus,0.2063,0.1711,0.2062646307628163,0.1711026920388333
foursquare,1,1,feature_zero_tempo,Feature Zero tempo,feature_zero_by_family,tempo,0.2069,0.1715,0.20690197297614074,0.17152494769826304
foursquare,1,1,feature_shuffle_tempo,Feature Shuffle tempo,feature_shuffle_by_family,tempo,0.2065,0.1712,0.2065488924019755,0.17120846924033287
foursquare,1,1,feature_zero_exposure,Feature Zero exposure,feature_zero_by_family,exposure,0.203,0.1677,0.20303970702714436,0.16768406064574906
foursquare,1,1,feature_shuffle_exposure,Feature Shuffle exposure,feature_shuffle_by_family,exposure,0.2048,0.1698,0.20483195870902893,0.16982610653237187
